nmz,ndz,a,c,e,g,b,x,prs,A,t1,t2,t3,t4,t5,t6
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0,0,0.02,0.98,0.236,0.226,0.05,0.236,0.226,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0,0,0.02,0.98,0.232,0.226,0.05,0.232,0.226,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0,0,0.02,0.98,0.095,0.097,0.05,0.095,0.097,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0,0,0.02,0.98,0.095,0.097,0.05,0.095,0.097,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.1,0,0.02,0.98,0.24,0.05,0.227,0.24,0.05,0.227
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.1,0,0.02,0.98,0.228,0.05,0.22,0.228,0.05,0.22
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.1,0,0.02,0.98,0.603,0.202,0.209,0.603,0.202,0.209
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.1,0,0.02,0.98,0.582,0.2,0.203,0.582,0.2,0.203
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.1,0,0.02,0.98,0.397,0.09,0.218,0.397,0.09,0.218
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.1,0,0.02,0.98,0.379,0.09,0.211,0.379,0.09,0.211
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.05,0,0.02,0.98,0.092,0.05,0.093,0.092,0.05,0.093
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.05,0,0.02,0.98,0.09,0.05,0.092,0.09,0.05,0.092
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.05,0,0.02,0.98,0.384,0.213,0.089,0.384,0.213,0.089
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.05,0,0.02,0.98,0.371,0.213,0.087,0.371,0.213,0.087
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.05,0,0.02,0.98,0.192,0.093,0.091,0.192,0.093,0.091
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.05,0,0.02,0.98,0.186,0.093,0.09,0.186,0.093,0.09
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0,0,0.05,0.95,0.534,0.485,0.05,0.534,0.485,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0,0,0.05,0.95,0.528,0.487,0.05,0.528,0.487,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0,0,0.05,0.95,0.173,0.172,0.05,0.173,0.172,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0,0,0.05,0.95,0.172,0.173,0.05,0.172,0.173,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.1,0,0.05,0.95,0.54,0.05,0.486,0.54,0.05,0.486
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.1,0,0.05,0.95,0.517,0.05,0.472,0.517,0.05,0.472
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.1,0,0.05,0.95,0.955,0.433,0.448,0.955,0.433,0.448
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.1,0,0.05,0.95,0.947,0.431,0.434,0.947,0.431,0.434
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.1,0,0.05,0.95,0.8,0.155,0.467,0.8,0.155,0.467
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.1,0,0.05,0.95,0.779,0.155,0.453,0.779,0.155,0.453
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.05,0,0.05,0.95,0.164,0.05,0.162,0.164,0.05,0.162
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.05,0,0.05,0.95,0.157,0.05,0.158,0.157,0.05,0.158
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.05,0,0.05,0.95,0.785,0.459,0.152,0.785,0.459,0.152
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.05,0,0.05,0.95,0.77,0.458,0.148,0.77,0.458,0.148
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.05,0,0.05,0.95,0.432,0.163,0.157,0.432,0.163,0.157
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.05,0,0.05,0.95,0.417,0.164,0.153,0.417,0.164,0.153
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0,0,0.1,0.9,0.854,0.79,0.05,0.854,0.79,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0,0,0.1,0.9,0.851,0.793,0.05,0.851,0.793,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0,0,0.1,0.9,0.319,0.304,0.05,0.319,0.304,0.05
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0,0,0.1,0.9,0.319,0.309,0.05,0.319,0.309,0.05
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.1,0,0.1,0.9,0.858,0.05,0.787,0.858,0.05,0.787
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.1,0,0.1,0.9,0.839,0.05,0.775,0.839,0.05,0.775
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.1,0,0.1,0.9,1,0.732,0.747,1,0.732,0.747
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.1,0,0.1,0.9,0.999,0.732,0.732,0.999,0.732,0.732
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.1,0,0.1,0.9,0.984,0.271,0.768,0.984,0.271,0.768
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.1,0,0.1,0.9,0.98,0.272,0.754,0.98,0.272,0.754
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.05,0,0.1,0.9,0.298,0.05,0.284,0.298,0.05,0.284
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.05,0,0.1,0.9,0.285,0.05,0.277,0.285,0.05,0.277
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.05,0,0.1,0.9,0.981,0.761,0.263,0.981,0.761,0.263
