"","nmz","ndz","a","c","e","g","b","x","prs","A","e1","e2","e3","e4","e5","e6","e7","e8","e9"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.025,0.025,0.05,0,0.05,0.013,0.05,0,0.05
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.05,0.05,0.1,0,0.1,0.025,0.1,0,0.1
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.05,0.033,0.05,0,0.05,0.029,0.05,0
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.075,0.075,0.083,0.05,0.05,0.062,0.079,0.05,0.05
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.1,0.1,0.133,0.05,0.1,0.075,0.129,0.05,0.1
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.1,0.1,0.067,0.1,0,0.1,0.057,0.1,0
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.125,0.125,0.117,0.1,0.05,0.112,0.107,0.1,0.05
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.15,0.15,0.167,0.1,0.1,0.125,0.157,0.1,0.1
"10",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0
"11",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.025,0.025,0.05,0,0.05,0.012,0.05,0,0.05
"12",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.05,0.05,0.1,0,0.1,0.025,0.1,0,0.1
"13",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.05,0.033,0.05,0,0.05,0.029,0.05,0
"14",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.075,0.075,0.083,0.05,0.05,0.063,0.079,0.05,0.05
"15",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.1,0.1,0.133,0.05,0.1,0.075,0.129,0.05,0.1
"16",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.1,0.1,0.067,0.1,0,0.1,0.057,0.1,0
"17",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0.05,0,0.02,0.98,0.125,0.125,0.117,0.1,0.05,0.113,0.107,0.1,0.05
"18",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0.1,0,0.02,0.98,0.15,0.15,0.167,0.1,0.1,0.125,0.157,0.1,0.1
