"","nmz","ndz","a","c","e","g","b","x","prs","A","p1","p2","p3","p4","p5","p6","p7","p8","p9"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.056,0.059,0.096,0.05,0.073,0.054,0.114,0.05,0.095
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.072,0.084,0.238,0.05,0.139,0.064,0.327,0.05,0.232
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.072,0.086,0.07,0.069,0.05,0.111,0.07,0.097,0.05
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.098,0.128,0.185,0.068,0.072,0.143,0.217,0.095,0.094
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.133,0.181,0.366,0.067,0.134,0.171,0.465,0.09,0.219
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.134,0.18,0.126,0.12,0.05,0.274,0.129,0.222,0.05
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.177,0.253,0.288,0.118,0.069,0.321,0.344,0.215,0.091
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.228,0.331,0.536,0.115,0.13,0.375,0.649,0.211,0.223
"10",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"11",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.056,0.06,0.1,0.05,0.075,0.054,0.12,0.05,0.099
"12",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.074,0.087,0.256,0.05,0.148,0.065,0.338,0.05,0.247
"13",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.074,0.087,0.069,0.071,0.05,0.116,0.07,0.101,0.05
"14",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.103,0.133,0.184,0.07,0.074,0.147,0.217,0.098,0.096
"15",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.142,0.191,0.39,0.068,0.139,0.184,0.494,0.095,0.233
"16",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.142,0.209,0.133,0.136,0.05,0.298,0.136,0.241,0.05
