"","nmz","ndz","a","c","e","g","b","x","prs","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.095,0.05,0.071,0.116,0.095,0.05,0.071,0.116,0.095,0.05,0.071,0.116,0.073,0.05,0.074,0.097
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.234,0.05,0.14,0.326,0.234,0.05,0.14,0.326,0.234,0.05,0.14,0.326,0.14,0.05,0.151,0.244
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.096,0.118,0.071,0.05,0.096,0.118,0.071,0.05,0.096,0.118,0.071,0.05,0.069,0.089,0.07
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.093,0.093,0.214,0.214,0.093,0.093,0.214,0.214,0.093,0.093,0.214,0.214,0.071,0.068,0.175,0.178
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.225,0.091,0.359,0.481,0.225,0.091,0.359,0.481,0.225,0.091,0.359,0.481,0.133,0.067,0.31,0.376
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.226,0.311,0.132,0.05,0.226,0.311,0.132,0.05,0.226,0.311,0.132,0.05,0.121,0.202,0.128
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.091,0.215,0.46,0.346,0.091,0.215,0.46,0.346,0.091,0.215,0.46,0.346,0.07,0.117,0.338,0.291
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.217,0.204,0.625,0.633,0.217,0.204,0.625,0.633,0.217,0.204,0.625,0.633,0.127,0.112,0.504,0.516
"10",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"11",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.098,0.05,0.07,0.119,0.098,0.05,0.07,0.119,0.098,0.05,0.07,0.119,0.075,0.05,0.075,0.101
"12",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.246,0.05,0.14,0.337,0.246,0.05,0.14,0.337,0.246,0.05,0.14,0.337,0.149,0.05,0.155,0.258
"13",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.103,0.125,0.072,0.05,0.103,0.125,0.072,0.05,0.103,0.125,0.072,0.05,0.072,0.093,0.071
"14",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.096,0.099,0.224,0.221,0.096,0.099,0.224,0.221,0.096,0.099,0.224,0.221,0.073,0.07,0.184,0.187
"15",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.237,0.095,0.37,0.497,0.237,0.095,0.37,0.497,0.237,0.095,0.37,0.497,0.142,0.069,0.326,0.397
"16",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.247,0.335,0.136,0.05,0.247,0.335,0.136,0.05,0.247,0.335,0.136,0.05,0.13,0.216,0.133
"17",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0.05,0,0.02,0.98,0.094,0.233,0.484,0.358,0.094,0.233,0.484,0.358,0.094,0.233,0.484,0.358,0.071,0.125,0.36,0.307
"18",4000,4000,0.632455532033676,0.447213595499958,0.547722557505166,0.1,0.1,0,0.02,0.98,0.227,0.22,0.646,0.65,0.227,0.22,0.646,0.65,0.227,0.22,0.646,0.65,0.134,0.12,0.529,0.541
"19",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"20",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.091,0.05,0.069,0.11,0.091,0.05,0.069,0.11,0.091,0.05,0.069,0.11,0.071,0.05,0.072,0.093
"21",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.216,0.05,0.133,0.301,0.216,0.05,0.133,0.301,0.216,0.05,0.133,0.301,0.131,0.05,0.142,0.226
"22",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.092,0.111,0.069,0.05,0.092,0.111,0.069,0.05,0.092,0.111,0.069,0.05,0.067,0.086,0.068
"23",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.089,0.089,0.199,0.199,0.089,0.089,0.199,0.199,0.089,0.089,0.199,0.199,0.069,0.066,0.163,0.166
"24",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.209,0.087,0.332,0.446,0.209,0.087,0.332,0.446,0.209,0.087,0.332,0.446,0.126,0.065,0.287,0.348
"25",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.209,0.286,0.125,0.05,0.209,0.286,0.125,0.05,0.209,0.286,0.125,0.05,0.115,0.188,0.12
"26",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.087,0.198,0.425,0.32,0.087,0.198,0.425,0.32,0.087,0.198,0.425,0.32,0.068,0.111,0.313,0.27
