"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.056,0.059,0.098,0.05,0.073,0.054,0.115,0.05,0.094,0.0657455532033677,0.0341227766016838
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.072,0.085,0.241,0.05,0.138,0.063,0.325,0.05,0.226,0.136491106406735,0.0732455532033676
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.072,0.085,0.07,0.069,0.05,0.11,0.07,0.097,0.05,0.0682455532033674,0.0682455532033674
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.098,0.13,0.177,0.068,0.07,0.138,0.212,0.093,0.093,0.138991106406735,0.107368329805051
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.133,0.178,0.391,0.066,0.135,0.169,0.487,0.09,0.223,0.214736659610103,0.151491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.134,0.183,0.128,0.121,0.05,0.281,0.133,0.23,0.05,0.146491106406735,0.146491106406735
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.177,0.243,0.292,0.114,0.069,0.323,0.342,0.217,0.091,0.222236659610103,0.190613883008419
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.228,0.32,0.513,0.114,0.13,0.357,0.637,0.201,0.217,0.30298221281347,0.239736659610103
"10",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"11",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.056,0.059,0.095,0.05,0.073,0.054,0.113,0.05,0.093,0.0732106781186548,0.0378553390593273
"12",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.072,0.082,0.234,0.05,0.135,0.064,0.307,0.05,0.226,0.151421356237309,0.0807106781186548
"13",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.072,0.083,0.069,0.068,0.05,0.108,0.069,0.095,0.05,0.0757106781186547,0.0757106781186547
"14",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.098,0.126,0.18,0.069,0.073,0.138,0.208,0.093,0.093,0.15392135623731,0.118566017177982
"15",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.132,0.181,0.371,0.067,0.137,0.169,0.462,0.09,0.218,0.237132034355964,0.16642135623731
"16",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.133,0.184,0.125,0.122,0.05,0.27,0.126,0.219,0.05,0.16142135623731,0.16142135623731
"17",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.02,0.98,0.176,0.245,0.29,0.116,0.07,0.318,0.335,0.213,0.09,0.244632034355964,0.209276695296637
"18",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.02,0.98,0.225,0.327,0.498,0.116,0.129,0.365,0.596,0.207,0.209,0.332842712474619,0.262132034355964
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.05,0.95,0.064,0.073,0.18,0.05,0.113,0.059,0.228,0.05,0.168,0.0657455532033677,0.0341227766016838
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.106,0.146,0.538,0.05,0.294,0.087,0.667,0.05,0.493,0.136491106406735,0.0732455532033676
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.05,0.95,0.106,0.139,0.098,0.099,0.05,0.205,0.099,0.171,0.05,0.0682455532033674,0.0682455532033674
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.05,0.95,0.175,0.249,0.391,0.095,0.103,0.285,0.473,0.164,0.164,0.138991106406735,0.107368329805051
