"","X","nmz","ndz","a","c","e","g","b","x","PGS","A","p4","p3","p1","p2","p8","p7","p5","p6","p12","p11","p9","p10","p16","p15","p13","p14","Smz","Sdz"
"1",1,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",2,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.095,0.05,0.071,0.116,0.095,0.05,0.071,0.116,0.095,0.05,0.071,0.116,0.073,0.05,0.074,0.097,0.0657455532033677,0.0341227766016838
"3",3,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.234,0.05,0.14,0.326,0.234,0.05,0.14,0.326,0.234,0.05,0.14,0.326,0.14,0.05,0.151,0.244,0.136491106406735,0.0732455532033676
"4",4,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.096,0.118,0.071,0.05,0.096,0.118,0.071,0.05,0.096,0.118,0.071,0.05,0.069,0.089,0.07,0.0682455532033674,0.0682455532033674
"5",5,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.093,0.093,0.214,0.214,0.093,0.093,0.214,0.214,0.093,0.093,0.214,0.214,0.071,0.068,0.175,0.178,0.138991106406735,0.107368329805051
"6",6,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.225,0.091,0.359,0.481,0.225,0.091,0.359,0.481,0.225,0.091,0.359,0.481,0.133,0.067,0.31,0.376,0.214736659610103,0.151491106406735
"7",7,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.226,0.311,0.132,0.05,0.226,0.311,0.132,0.05,0.226,0.311,0.132,0.05,0.121,0.202,0.128,0.146491106406735,0.146491106406735
"8",8,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.091,0.215,0.46,0.346,0.091,0.215,0.46,0.346,0.091,0.215,0.46,0.346,0.07,0.117,0.338,0.291,0.222236659610103,0.190613883008419
"9",9,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.217,0.204,0.625,0.633,0.217,0.204,0.625,0.633,0.217,0.204,0.625,0.633,0.127,0.112,0.504,0.516,0.30298221281347,0.239736659610103
"10",10,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"11",11,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.093,0.05,0.069,0.112,0.093,0.05,0.069,0.113,0.093,0.05,0.069,0.112,0.073,0.05,0.073,0.096,0.0732106781186548,0.0378553390593273
"12",12,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.227,0.05,0.132,0.311,0.227,0.05,0.132,0.311,0.227,0.05,0.132,0.311,0.139,0.05,0.146,0.238,0.151421356237309,0.0807106781186548
"13",13,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.097,0.117,0.07,0.05,0.097,0.117,0.07,0.05,0.097,0.117,0.07,0.05,0.07,0.089,0.069,0.0757106781186547,0.0757106781186547
"14",14,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.091,0.093,0.207,0.204,0.091,0.093,0.207,0.204,0.091,0.093,0.207,0.204,0.071,0.068,0.171,0.174,0.15392135623731,0.118566017177982
"15",15,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.218,0.09,0.342,0.459,0.218,0.09,0.342,0.459,0.218,0.09,0.342,0.459,0.132,0.067,0.301,0.366,0.237132034355964,0.16642135623731
"16",16,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.226,0.306,0.128,0.05,0.226,0.306,0.128,0.05,0.226,0.306,0.128,0.05,0.122,0.2,0.125,0.16142135623731,0.16142135623731
"17",17,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.02,0.98,0.089,0.213,0.445,0.33,0.089,0.213,0.445,0.33,0.089,0.213,0.445,0.33,0.069,0.117,0.331,0.283,0.244632034355964,0.209276695296637
"18",18,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.02,0.98,0.209,0.202,0.603,0.608,0.209,0.202,0.603,0.608,0.209,0.202,0.603,0.608,0.126,0.113,0.49,0.502,0.332842712474619,0.262132034355964
"19",19,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"20",20,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.05,0.95,0.167,0.05,0.103,0.222,0.167,0.05,0.103,0.222,0.167,0.05,0.103,0.222,0.108,0.05,0.112,0.172,0.0657455532033677,0.0341227766016838
"21",21,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.5,0.05,0.283,0.67,0.5,0.05,0.283,0.67,0.5,0.05,0.283,0.67,0.281,0.05,0.309,0.52,0.136491106406735,0.0732455532033676
"22",22,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.171,0.226,0.103,0.05,0.171,0.226,0.103,0.05,0.171,0.226,0.103,0.05,0.099,0.152,0.101,0.0682455532033674,0.0682455532033674
"23",23,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.05,0.95,0.162,0.163,0.458,0.457,0.162,0.163,0.458,0.457,0.162,0.163,0.458,0.457,0.104,0.096,0.368,0.376,0.138991106406735,0.107368329805051
"24",24,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.05,0.95,0.482,0.155,0.72,0.861,0.482,0.155,0.72,0.861,0.482,0.155,0.72,0.861,0.266,0.093,0.644,0.744,0.214736659610103,0.151491106406735
