"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.01,0,0.1,0.9,0.005,0.005,0.02,0,0.02,0.003,0.02,0,0.02,0.0127491106406734,0.00642455532033681
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.01,0.01,0.04,0,0.04,0.005,0.04,0,0.04,0.0256982212813468,0.0130491106406734
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.03,0,0.1,0.9,0.015,0.015,0.06,0,0.06,0.008,0.06,0,0.06,0.0388473319220206,0.0198736659610104
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.02,0.02,0.08,0,0.08,0.01,0.08,0,0.08,0.052196442562694,0.0268982212813471
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.025,0.025,0.1,0,0.1,0.013,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.03,0.03,0.12,0,0.12,0.015,0.12,0,0.12,0.079494663844041,0.0415473319220205
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.07,0,0.1,0.9,0.035,0.035,0.14,0,0.14,0.018,0.14,0,0.14,0.0934437744847143,0.0491718872423572
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.04,0.04,0.16,0,0.16,0.02,0.16,0,0.16,0.107592885125388,0.0569964425626939
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.09,0,0.1,0.9,0.045,0.045,0.18,0,0.18,0.022,0.18,0,0.18,0.121941995766061,0.0650209978830305
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0,0,0.1,0.9,0.01,0.01,0.013,0.01,0,0.01,0.011,0.01,0,0.0128491106406734,0.0128491106406734
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.01,0,0.1,0.9,0.015,0.015,0.033,0.01,0.02,0.012,0.031,0.01,0.02,0.025798221281347,0.0194736659610102
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.02,0,0.1,0.9,0.02,0.02,0.053,0.01,0.04,0.015,0.051,0.01,0.04,0.0389473319220204,0.026298221281347
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.03,0,0.1,0.9,0.025,0.025,0.073,0.01,0.06,0.018,0.071,0.01,0.06,0.0522964425626942,0.0333227766016839
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.04,0,0.1,0.9,0.03,0.03,0.093,0.01,0.08,0.02,0.091,0.01,0.08,0.0658455532033675,0.0405473319220206
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.05,0,0.1,0.9,0.035,0.035,0.113,0.01,0.1,0.023,0.111,0.01,0.1,0.0795946638440412,0.0479718872423573
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.06,0,0.1,0.9,0.04,0.04,0.133,0.01,0.12,0.025,0.131,0.01,0.12,0.0935437744847145,0.055596442562694
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.07,0,0.1,0.9,0.045,0.045,0.153,0.01,0.14,0.028,0.151,0.01,0.14,0.107692885125388,0.0634209978830307
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.08,0,0.1,0.9,0.05,0.05,0.173,0.01,0.16,0.03,0.171,0.01,0.16,0.122041995766061,0.0714455532033673
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.09,0,0.1,0.9,0.055,0.055,0.193,0.01,0.18,0.032,0.191,0.01,0.18,0.136591106406735,0.0796701085237044
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.1,0,0.1,0.9,0.06,0.06,0.213,0.01,0.2,0.035,0.211,0.01,0.2,0.151340217047409,0.088094663844041
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.02,0.02,0.027,0.02,0,0.02,0.023,0.02,0,0.026098221281347,0.026098221281347
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.01,0,0.1,0.9,0.025,0.025,0.047,0.02,0.02,0.023,0.043,0.02,0.02,0.0392473319220206,0.0329227766016837
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.03,0.03,0.067,0.02,0.04,0.025,0.063,0.02,0.04,0.0525964425626939,0.0399473319220205
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.03,0,0.1,0.9,0.035,0.035,0.087,0.02,0.06,0.028,0.083,0.02,0.06,0.0661455532033677,0.0471718872423574
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.04,0.04,0.107,0.02,0.08,0.03,0.103,0.02,0.08,0.079894663844041,0.0545964425626941
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.05,0,0.1,0.9,0.045,0.045,0.127,0.02,0.1,0.032,0.123,0.02,0.1,0.0938437744847147,0.0622209978830308
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.05,0.05,0.147,0.02,0.12,0.035,0.143,0.02,0.12,0.107992885125388,0.0700455532033675
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.07,0,0.1,0.9,0.055,0.055,0.167,0.02,0.14,0.038,0.163,0.02,0.14,0.122341995766061,0.0780701085237041
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.06,0.06,0.187,0.02,0.16,0.04,0.183,0.02,0.16,0.136891106406735,0.0862946638440412
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.09,0,0.1,0.9,0.065,0.065,0.207,0.02,0.18,0.042,0.203,0.02,0.18,0.151640217047408,0.0947192191643778
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.07,0.07,0.227,0.02,0.2,0.045,0.223,0.02,0.2,0.166589327688082,0.103343774484715
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0,0,0.1,0.9,0.03,0.03,0.04,0.03,0,0.03,0.034,0.03,0,0.0397473319220203,0.0397473319220203
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.01,0,0.1,0.9,0.035,0.035,0.06,0.03,0.02,0.033,0.054,0.03,0.02,0.0530964425626941,0.046771887242357
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.02,0,0.1,0.9,0.04,0.04,0.08,0.03,0.04,0.035,0.074,0.03,0.04,0.0666455532033674,0.0539964425626938
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.1,0.9,0.045,0.045,0.1,0.03,0.06,0.038,0.094,0.03,0.06,0.0803946638440411,0.0614209978830307
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.04,0,0.1,0.9,0.05,0.05,0.12,0.03,0.08,0.04,0.114,0.03,0.08,0.0943437744847144,0.0690455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.05,0,0.1,0.9,0.055,0.055,0.14,0.03,0.1,0.043,0.134,0.03,0.1,0.108492885125388,0.0768701085237042
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.06,0,0.1,0.9,0.06,0.06,0.16,0.03,0.12,0.045,0.154,0.03,0.12,0.122841995766062,0.0848946638440409
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.07,0,0.1,0.9,0.065,0.065,0.18,0.03,0.14,0.047,0.174,0.03,0.14,0.137391106406735,0.0931192191643779
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.08,0,0.1,0.9,0.07,0.07,0.2,0.03,0.16,0.05,0.194,0.03,0.16,0.152140217047409,0.101543774484715
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.09,0,0.1,0.9,0.075,0.075,0.22,0.03,0.18,0.052,0.214,0.03,0.18,0.167089327688082,0.110168329805051
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.1,0,0.1,0.9,0.08,0.08,0.24,0.03,0.2,0.055,0.234,0.03,0.2,0.182238438328755,0.118992885125388
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.04,0.04,0.053,0.04,0,0.04,0.046,0.04,0,0.0537964425626938,0.0537964425626938
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.01,0,0.1,0.9,0.045,0.045,0.073,0.04,0.02,0.042,0.066,0.04,0.02,0.0673455532033675,0.0610209978830305
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.05,0.05,0.093,0.04,0.04,0.045,0.086,0.04,0.04,0.0810946638440408,0.0684455532033674
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.03,0,0.1,0.9,0.055,0.055,0.113,0.04,0.06,0.047,0.106,0.04,0.06,0.0950437744847146,0.0760701085237043
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.06,0.06,0.133,0.04,0.08,0.05,0.126,0.04,0.08,0.109192885125388,0.083894663844041
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.05,0,0.1,0.9,0.065,0.065,0.153,0.04,0.1,0.053,0.146,0.04,0.1,0.123541995766062,0.0919192191643776
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.07,0.07,0.173,0.04,0.12,0.055,0.166,0.04,0.12,0.138091106406735,0.100143774484715
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.07,0,0.1,0.9,0.075,0.075,0.193,0.04,0.14,0.057,0.186,0.04,0.14,0.152840217047409,0.108568329805051
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.08,0.08,0.213,0.04,0.16,0.06,0.206,0.04,0.16,0.167789327688082,0.117192885125388
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.09,0,0.1,0.9,0.085,0.085,0.233,0.04,0.18,0.062,0.226,0.04,0.18,0.182938438328756,0.126017440445725
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.09,0.09,0.253,0.04,0.2,0.065,0.246,0.04,0.2,0.198287548969429,0.135041995766061
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.01,0,0.1,0.9,0.055,0.055,0.087,0.05,0.02,0.053,0.077,0.05,0.02,0.081994663844041,0.0756701085237044
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.02,0,0.1,0.9,0.06,0.06,0.107,0.05,0.04,0.055,0.097,0.05,0.04,0.0959437744847147,0.0832946638440411
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.03,0,0.1,0.9,0.065,0.065,0.127,0.05,0.06,0.057,0.117,0.05,0.06,0.110092885125388,0.0911192191643777
