"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.01,0,0.1,0.9,0.051,0.052,0.06,0.05,0.055,0.051,0.063,0.05,0.059,0.0127491106406734,0.00642455532033681
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.055,0.057,0.089,0.05,0.069,0.053,0.105,0.05,0.087,0.0256982212813468,0.0130491106406734
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.03,0,0.1,0.9,0.061,0.067,0.142,0.05,0.093,0.057,0.175,0.05,0.135,0.0388473319220206,0.0198736659610104
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.069,0.08,0.217,0.05,0.132,0.062,0.283,0.05,0.211,0.052196442562694,0.0268982212813471
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.079,0.097,0.307,0.05,0.176,0.07,0.408,0.05,0.3,0.0657455532033677,0.0341227766016838
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.092,0.112,0.422,0.05,0.223,0.076,0.539,0.05,0.391,0.079494663844041,0.0415473319220205
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.07,0,0.1,0.9,0.107,0.141,0.529,0.05,0.29,0.087,0.677,0.05,0.507,0.0934437744847143,0.0491718872423572
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.125,0.172,0.641,0.05,0.367,0.099,0.794,0.05,0.624,0.107592885125388,0.0569964425626939
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.09,0,0.1,0.9,0.145,0.2,0.747,0.05,0.437,0.11,0.882,0.05,0.73,0.121941995766061,0.0650209978830305
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.167,0.227,0.812,0.05,0.509,0.124,0.927,0.05,0.798,0.136491106406735,0.0732455532033676
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0,0,0.1,0.9,0.055,0.057,0.054,0.054,0.05,0.063,0.054,0.06,0.05,0.0128491106406734,0.0128491106406734
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.01,0,0.1,0.9,0.061,0.067,0.076,0.054,0.055,0.07,0.081,0.06,0.059,0.025798221281347,0.0194736659610102
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.02,0,0.1,0.9,0.069,0.078,0.118,0.054,0.068,0.078,0.14,0.059,0.087,0.0389473319220204,0.026298221281347
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.03,0,0.1,0.9,0.079,0.097,0.194,0.054,0.094,0.089,0.24,0.06,0.138,0.0522964425626942,0.0333227766016839
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.04,0,0.1,0.9,0.092,0.118,0.266,0.054,0.125,0.1,0.336,0.06,0.199,0.0658455532033675,0.0405473319220206
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.05,0,0.1,0.9,0.108,0.142,0.373,0.054,0.172,0.11,0.47,0.059,0.285,0.0795946638440412,0.0479718872423573
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.06,0,0.1,0.9,0.125,0.171,0.485,0.054,0.229,0.127,0.62,0.059,0.392,0.0935437744847145,0.055596442562694
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.07,0,0.1,0.9,0.145,0.208,0.589,0.054,0.283,0.142,0.73,0.059,0.497,0.107692885125388,0.0634209978830307
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.08,0,0.1,0.9,0.167,0.243,0.722,0.054,0.365,0.158,0.854,0.059,0.624,0.122041995766061,0.0714455532033673
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.09,0,0.1,0.9,0.191,0.26,0.792,0.054,0.431,0.171,0.906,0.059,0.709,0.136591106406735,0.0796701085237044
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.1,0,0.1,0.9,0.217,0.333,0.87,0.054,0.485,0.203,0.957,0.059,0.801,0.151340217047409,0.088094663844041
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.069,0.08,0.067,0.067,0.05,0.103,0.067,0.091,0.05,0.026098221281347,0.026098221281347
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.01,0,0.1,0.9,0.079,0.097,0.103,0.067,0.055,0.116,0.112,0.09,0.059,0.0392473319220206,0.0329227766016837
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.092,0.115,0.16,0.066,0.069,0.128,0.185,0.088,0.086,0.0525964425626939,0.0399473319220205
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.03,0,0.1,0.9,0.108,0.143,0.24,0.066,0.093,0.146,0.295,0.088,0.135,0.0661455532033677,0.0471718872423574
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.125,0.171,0.333,0.066,0.125,0.163,0.414,0.088,0.199,0.079894663844041,0.0545964425626941
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.05,0,0.1,0.9,0.145,0.198,0.436,0.065,0.166,0.183,0.539,0.088,0.288,0.0938437744847147,0.0622209978830308
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.167,0.233,0.545,0.066,0.223,0.2,0.677,0.087,0.387,0.107992885125388,0.0700455532033675
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.07,0,0.1,0.9,0.191,0.272,0.664,0.065,0.281,0.223,0.793,0.087,0.498,0.122341995766061,0.0780701085237041
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.218,0.31,0.769,0.065,0.34,0.24,0.879,0.085,0.602,0.136891106406735,0.0862946638440412
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.09,0,0.1,0.9,0.246,0.349,0.83,0.064,0.405,0.264,0.93,0.085,0.692,0.151640217047408,0.0947192191643778
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.276,0.403,0.89,0.065,0.499,0.291,0.963,0.085,0.786,0.166589327688082,0.103343774484715
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0,0,0.1,0.9,0.092,0.12,0.089,0.088,0.05,0.164,0.089,0.139,0.05,0.0397473319220203,0.0397473319220203
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.01,0,0.1,0.9,0.108,0.143,0.14,0.087,0.055,0.19,0.153,0.142,0.059,0.0530964425626941,0.046771887242357
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.02,0,0.1,0.9,0.125,0.164,0.206,0.085,0.068,0.201,0.24,0.135,0.086,0.0666455532033674,0.0539964425626938
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.1,0.9,0.145,0.206,0.304,0.087,0.094,0.235,0.367,0.141,0.137,0.0803946638440411,0.0614209978830307
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.04,0,0.1,0.9,0.167,0.239,0.394,0.087,0.126,0.249,0.474,0.136,0.196,0.0943437744847144,0.0690455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.05,0,0.1,0.9,0.192,0.265,0.52,0.084,0.169,0.264,0.64,0.131,0.289,0.108492885125388,0.0768701085237042
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.06,0,0.1,0.9,0.218,0.317,0.616,0.084,0.211,0.294,0.739,0.132,0.374,0.122841995766062,0.0848946638440409
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.07,0,0.1,0.9,0.246,0.353,0.733,0.085,0.29,0.327,0.845,0.135,0.507,0.137391106406735,0.0931192191643779
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.08,0,0.1,0.9,0.276,0.389,0.815,0.083,0.348,0.343,0.915,0.13,0.604,0.152140217047409,0.101543774484715
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.09,0,0.1,0.9,0.308,0.448,0.871,0.083,0.405,0.369,0.955,0.128,0.692,0.167089327688082,0.110168329805051
