"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.01,0,0.1,0.9,0.005,0.01,0,0.01,0.005,0.01,0,0.01,0.005,0.01,0,0.01,0.008,0.01,0,0.01,0.0127491106406734,0.00642455532033681
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.011,0.02,0,0.02,0.011,0.02,0,0.02,0.011,0.02,0,0.02,0.015,0.02,0,0.02,0.0256982212813468,0.0130491106406734
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.03,0,0.1,0.9,0.016,0.03,0,0.03,0.016,0.03,0,0.03,0.016,0.03,0,0.03,0.023,0.03,0,0.03,0.0388473319220206,0.0198736659610104
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.022,0.04,0,0.04,0.022,0.04,0,0.04,0.022,0.04,0,0.04,0.031,0.04,0,0.04,0.052196442562694,0.0268982212813471
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.028,0.05,0,0.05,0.028,0.05,0,0.05,0.027,0.05,0,0.05,0.039,0.05,0,0.05,0.0657455532033677,0.0341227766016838
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.033,0.06,0,0.06,0.033,0.06,0,0.06,0.033,0.06,0,0.06,0.047,0.06,0,0.06,0.079494663844041,0.0415473319220205
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.07,0,0.1,0.9,0.04,0.07,0,0.07,0.039,0.07,0,0.07,0.039,0.07,0,0.07,0.055,0.07,0,0.07,0.0934437744847143,0.0491718872423572
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.045,0.08,0,0.08,0.045,0.08,0,0.08,0.045,0.08,0,0.08,0.063,0.08,0,0.08,0.107592885125388,0.0569964425626939
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.09,0,0.1,0.9,0.051,0.09,0,0.09,0.051,0.09,0,0.09,0.051,0.09,0,0.09,0.071,0.09,0,0.09,0.121941995766061,0.0650209978830305
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.079,0.1,0,0.1,0.136491106406735,0.0732455532033676
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0,0,0.1,0.9,0.01,0.006,0.01,0,0.01,0.006,0.01,0,0.01,0.006,0.01,0,0.01,0.007,0.01,0,0.0128491106406734,0.0128491106406734
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.01,0,0.1,0.9,0.015,0.016,0.01,0.01,0.015,0.016,0.01,0.01,0.015,0.016,0.01,0.01,0.018,0.017,0.01,0.01,0.025798221281347,0.0194736659610102
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.02,0,0.1,0.9,0.021,0.026,0.01,0.02,0.021,0.026,0.01,0.02,0.021,0.026,0.01,0.02,0.025,0.027,0.01,0.02,0.0389473319220204,0.026298221281347
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.03,0,0.1,0.9,0.026,0.036,0.01,0.03,0.026,0.036,0.01,0.03,0.026,0.036,0.01,0.03,0.033,0.037,0.01,0.03,0.0522964425626942,0.0333227766016839
