"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.01,0,0.1,0.9,0.063,0.054,0.059,0.05,0.063,0.054,0.059,0.05,0.063,0.054,0.059,0.05,0.06,0.055,0.055,0.05,0.0127491106406734,0.00642455532033681
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.104,0.066,0.087,0.05,0.104,0.066,0.087,0.05,0.104,0.066,0.087,0.05,0.089,0.07,0.069,0.05,0.0256982212813468,0.0130491106406734
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.03,0,0.1,0.9,0.175,0.087,0.135,0.05,0.175,0.087,0.135,0.05,0.175,0.087,0.135,0.05,0.139,0.095,0.093,0.05,0.0388473319220206,0.0198736659610104
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.275,0.118,0.204,0.05,0.275,0.118,0.204,0.05,0.275,0.118,0.204,0.05,0.211,0.131,0.127,0.05,0.052196442562694,0.0268982212813471
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.399,0.16,0.292,0.05,0.399,0.16,0.292,0.05,0.399,0.16,0.292,0.05,0.302,0.179,0.171,0.05,0.0657455532033677,0.0341227766016838
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.535,0.211,0.394,0.05,0.535,0.211,0.394,0.05,0.535,0.211,0.394,0.05,0.409,0.237,0.225,0.05,0.079494663844041,0.0415473319220205
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.07,0,0.1,0.9,0.667,0.274,0.504,0.05,0.667,0.273,0.504,0.05,0.667,0.273,0.504,0.05,0.522,0.307,0.287,0.05,0.0934437744847143,0.0491718872423572
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.781,0.345,0.614,0.05,0.781,0.345,0.614,0.05,0.781,0.345,0.614,0.05,0.634,0.384,0.356,0.05,0.107592885125388,0.0569964425626939
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.09,0,0.1,0.9,0.869,0.423,0.714,0.05,0.869,0.423,0.714,0.05,0.869,0.423,0.714,0.05,0.735,0.466,0.43,0.05,0.121941995766061,0.0650209978830305
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.929,0.505,0.8,0.05,0.929,0.505,0.8,0.05,0.929,0.505,0.8,0.05,0.819,0.55,0.506,0.05,0.136491106406735,0.0732455532033676
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0,0,0.1,0.9,0.054,0.064,0.05,0.06,0.054,0.064,0.05,0.06,0.054,0.064,0.05,0.06,0.054,0.058,0.05,0.054,0.0128491106406734,0.0128491106406734
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.01,0,0.1,0.9,0.083,0.084,0.059,0.06,0.083,0.084,0.059,0.06,0.083,0.084,0.059,0.06,0.077,0.076,0.055,0.054,0.025798221281347,0.0194736659610102
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.02,0,0.1,0.9,0.141,0.112,0.087,0.06,0.141,0.112,0.087,0.06,0.141,0.112,0.087,0.06,0.12,0.104,0.069,0.054,0.0389473319220204,0.026298221281347
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.03,0,0.1,0.9,0.228,0.15,0.135,0.06,0.228,0.15,0.135,0.06,0.228,0.15,0.135,0.06,0.184,0.143,0.093,0.054,0.0522964425626942,0.0333227766016839
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.04,0,0.1,0.9,0.342,0.199,0.203,0.06,0.342,0.199,0.203,0.06,0.342,0.199,0.203,0.06,0.268,0.193,0.126,0.054,0.0658455532033675,0.0405473319220206
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.05,0,0.1,0.9,0.474,0.257,0.29,0.059,0.474,0.257,0.29,0.059,0.474,0.257,0.29,0.059,0.37,0.254,0.17,0.054,0.0795946638440412,0.0479718872423573
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.06,0,0.1,0.9,0.609,0.324,0.391,0.059,0.609,0.324,0.391,0.059,0.609,0.324,0.391,0.059,0.481,0.325,0.223,0.054,0.0935437744847145,0.055596442562694
