"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.051,0.051,0.057,0.05,0.054,0.051,0.061,0.05,0.057,0.0256982212813468,0.0130491106406734
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.054,0.056,0.081,0.05,0.065,0.052,0.093,0.05,0.079,0.052196442562694,0.0268982212813471
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.058,0.062,0.117,0.05,0.083,0.055,0.146,0.05,0.115,0.079494663844041,0.0415473319220205
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.064,0.072,0.174,0.05,0.108,0.059,0.226,0.05,0.166,0.107592885125388,0.0569964425626939
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.072,0.083,0.242,0.05,0.134,0.063,0.32,0.05,0.224,0.136491106406735,0.0732455532033676
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.054,0.056,0.053,0.053,0.05,0.06,0.053,0.058,0.05,0.026098221281347,0.026098221281347
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.058,0.062,0.07,0.053,0.054,0.064,0.075,0.057,0.057,0.0525964425626939,0.0399473319220205
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.064,0.072,0.103,0.053,0.065,0.071,0.118,0.057,0.078,0.079894663844041,0.0545964425626941
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.072,0.085,0.154,0.053,0.082,0.077,0.19,0.057,0.114,0.107992885125388,0.0700455532033675
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.081,0.101,0.219,0.053,0.107,0.085,0.283,0.057,0.165,0.136891106406735,0.0862946638440412
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.092,0.115,0.296,0.053,0.134,0.095,0.386,0.057,0.228,0.166589327688082,0.103343774484715
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.064,0.071,0.063,0.062,0.05,0.088,0.063,0.08,0.05,0.0537964425626938,0.0537964425626938
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.072,0.084,0.088,0.062,0.053,0.096,0.096,0.078,0.057,0.0810946638440408,0.0684455532033674
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.081,0.101,0.135,0.062,0.064,0.11,0.156,0.079,0.078,0.109192885125388,0.083894663844041
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.092,0.117,0.19,0.061,0.08,0.119,0.236,0.078,0.114,0.138091106406735,0.100143774484715
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.104,0.131,0.266,0.061,0.104,0.127,0.334,0.076,0.161,0.167789327688082,0.117192885125388
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.118,0.163,0.347,0.061,0.134,0.141,0.458,0.076,0.229,0.198287548969429,0.135041995766061
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.081,0.101,0.079,0.078,0.05,0.137,0.078,0.117,0.05,0.0830946638440411,0.0830946638440411
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.092,0.116,0.114,0.076,0.053,0.149,0.124,0.114,0.057,0.111192885125388,0.0985437744847144
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.105,0.136,0.166,0.076,0.063,0.161,0.198,0.112,0.078,0.140091106406735,0.114792885125388
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.118,0.164,0.238,0.077,0.081,0.173,0.292,0.11,0.113,0.169789327688082,0.131841995766062
