"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.011,0.02,0,0.02,0.011,0.02,0,0.02,0.011,0.02,0,0.02,0.015,0.02,0,0.02,0.0256982212813468,0.0130491106406734
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.022,0.04,0,0.04,0.022,0.04,0,0.04,0.022,0.04,0,0.04,0.031,0.04,0,0.04,0.052196442562694,0.0268982212813471
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.033,0.06,0,0.06,0.033,0.06,0,0.06,0.033,0.06,0,0.06,0.047,0.06,0,0.06,0.079494663844041,0.0415473319220205
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.045,0.08,0,0.08,0.045,0.08,0,0.08,0.045,0.08,0,0.08,0.063,0.08,0,0.08,0.107592885125388,0.0569964425626939
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.079,0.1,0,0.1,0.136491106406735,0.0732455532033676
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.02,0.012,0.02,0,0.02,0.012,0.02,0,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.026098221281347,0.026098221281347
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.031,0.032,0.02,0.02,0.031,0.032,0.02,0.02,0.031,0.032,0.02,0.02,0.035,0.033,0.02,0.02,0.0525964425626939,0.0399473319220205
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.042,0.052,0.02,0.04,0.043,0.052,0.02,0.04,0.042,0.052,0.02,0.04,0.051,0.053,0.02,0.04,0.079894663844041,0.0545964425626941
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.054,0.072,0.02,0.06,0.054,0.072,0.02,0.06,0.054,0.072,0.02,0.06,0.067,0.073,0.02,0.06,0.107992885125388,0.0700455532033675
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.066,0.092,0.02,0.08,0.066,0.092,0.02,0.08,0.066,0.092,0.02,0.08,0.083,0.093,0.02,0.08,0.136891106406735,0.0862946638440412
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.079,0.112,0.02,0.1,0.079,0.112,0.02,0.1,0.079,0.112,0.02,0.1,0.1,0.113,0.02,0.1,0.166589327688082,0.103343774484715
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.04,0.023,0.04,0,0.04,0.023,0.04,0,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0537964425626938,0.0537964425626938
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.051,0.043,0.04,0.02,0.051,0.043,0.04,0.02,0.051,0.043,0.04,0.02,0.055,0.047,0.04,0.02,0.0810946638440408,0.0684455532033674
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.062,0.063,0.04,0.04,0.062,0.063,0.04,0.04,0.062,0.063,0.04,0.04,0.071,0.067,0.04,0.04,0.109192885125388,0.083894663844041
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.074,0.083,0.04,0.06,0.074,0.083,0.04,0.06,0.074,0.083,0.04,0.06,0.088,0.087,0.04,0.06,0.138091106406735,0.100143774484715
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.087,0.103,0.04,0.08,0.087,0.103,0.04,0.08,0.087,0.103,0.04,0.08,0.104,0.107,0.04,0.08,0.167789327688082,0.117192885125388
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.1,0.123,0.04,0.1,0.1,0.123,0.04,0.1,0.1,0.123,0.04,0.1,0.12,0.127,0.04,0.1,0.198287548969429,0.135041995766061
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.06,0.035,0.06,0,0.06,0.035,0.06,0,0.06,0.035,0.06,0,0.06,0.04,0.06,0,0.0830946638440411,0.0830946638440411
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.071,0.055,0.06,0.02,0.071,0.055,0.06,0.02,0.071,0.055,0.06,0.02,0.076,0.06,0.06,0.02,0.111192885125388,0.0985437744847144
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.083,0.075,0.011,0.101,0.083,0.075,0.06,0.04,0.083,0.074,0.06,0.04,0.092,0.08,0.06,0.04,0.140091106406735,0.114792885125388
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.095,0.094,0.06,0.06,0.095,0.094,0.06,0.06,0.095,0.094,0.06,0.06,0.108,0.1,0.06,0.06,0.169789327688082,0.131841995766062
