"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0,0,0,0.12,0.88,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"2",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0,0,0.12,0.88,0.067,0.056,0.061,0.05,0.062,0.056,0.056,0.05,0.0174046505340852,0.0174046505340852
"3",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0,0,0.12,0.88,0.116,0.073,0.092,0.05,0.099,0.073,0.075,0.05,0.0352093010681704,0.0352093010681704
"4",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0,0,0.12,0.88,0.2,0.103,0.145,0.05,0.16,0.103,0.105,0.05,0.0534139516022556,0.0534139516022556
"5",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.04,0,0,0.12,0.88,0.314,0.145,0.217,0.05,0.244,0.144,0.147,0.05,0.0720186021363409,0.0720186021363409
"6",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.05,0,0,0.12,0.88,0.447,0.198,0.306,0.05,0.348,0.197,0.199,0.05,0.0910232526704262,0.0910232526704262
"7",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.06,0,0,0.12,0.88,0.585,0.263,0.407,0.05,0.462,0.261,0.261,0.05,0.110427903204511,0.110427903204511
"8",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.07,0,0,0.12,0.88,0.711,0.337,0.512,0.05,0.578,0.334,0.331,0.05,0.130232553738597,0.130232553738597
"9",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.08,0,0,0.12,0.88,0.814,0.417,0.615,0.05,0.686,0.412,0.405,0.05,0.150437204272682,0.150437204272682
"10",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.09,0,0,0.12,0.88,0.889,0.5,0.707,0.05,0.778,0.493,0.481,0.05,0.171041854806767,0.171041854806767
"11",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.1,0,0,0.12,0.88,0.939,0.583,0.787,0.05,0.852,0.574,0.556,0.05,0.192046505340852,0.192046505340852
"12",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.11,0,0,0.12,0.88,0.969,0.661,0.851,0.05,0.906,0.651,0.628,0.05,0.213451155874938,0.213451155874938
"13",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.12,0,0,0.12,0.88,0.985,0.732,0.899,0.05,0.943,0.721,0.693,0.05,0.235255806409023,0.235255806409023
"14",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0,0.01,0,0.12,0.88,0.056,0.066,0.05,0.06,0.056,0.063,0.05,0.057,0.0173046505340853,0.00870232526704262
"15",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0.01,0,0.12,0.88,0.092,0.092,0.06,0.06,0.087,0.087,0.056,0.057,0.0349093010681705,0.0263069758011278
"16",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0.01,0,0.12,0.88,0.163,0.13,0.091,0.06,0.142,0.123,0.074,0.057,0.0529139516022556,0.044311626335213
"17",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0.01,0,0.12,0.88,0.266,0.181,0.143,0.06,0.221,0.171,0.104,0.057,0.071318602136341,0.0627162768692981
