"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.061,0.053,0.058,0.05,0.057,0.053,0.053,0.05,0.0260982212813471,0.0260982212813471
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.095,0.063,0.081,0.05,0.076,0.063,0.063,0.05,0.0537964425626939,0.0537964425626939
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.148,0.08,0.118,0.05,0.106,0.079,0.078,0.05,0.0830946638440412,0.0830946638440412
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.221,0.102,0.168,0.05,0.149,0.1,0.097,0.05,0.113992885125388,0.113992885125388
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.303,0.132,0.222,0.05,0.203,0.131,0.121,0.05,0.146491106406735,0.146491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.054,0.06,0.05,0.057,0.054,0.057,0.05,0.054,0.0256982212813469,0.0130491106406735
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.077,0.075,0.057,0.057,0.07,0.07,0.053,0.054,0.052596442562694,0.0399473319220206
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.122,0.097,0.079,0.057,0.099,0.09,0.062,0.053,0.081094663844041,0.0684455532033676
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.191,0.124,0.117,0.057,0.141,0.115,0.077,0.053,0.111192885125388,0.0985437744847145
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.273,0.162,0.161,0.057,0.188,0.145,0.095,0.053,0.142891106406735,0.130241995766062
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.37,0.202,0.222,0.057,0.245,0.182,0.118,0.053,0.176189327688082,0.163540217047409
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.065,0.092,0.05,0.079,0.065,0.08,0.05,0.064,0.0521964425626941,0.0268982212813472
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.101,0.117,0.057,0.076,0.091,0.101,0.053,0.064,0.0798946638440411,0.0545964425626943
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.165,0.153,0.079,0.077,0.132,0.131,0.062,0.064,0.109192885125388,0.0838946638440411
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.24,0.193,0.113,0.077,0.182,0.167,0.075,0.063,0.140091106406735,0.114792885125388
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.337,0.241,0.16,0.077,0.247,0.211,0.097,0.063,0.172589327688082,0.147291106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.453,0.299,0.223,0.077,0.317,0.254,0.12,0.063,0.206687548969429,0.181389327688082
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.085,0.146,0.05,0.114,0.086,0.119,0.05,0.082,0.0794946638440411,0.0415473319220207
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.134,0.184,0.057,0.113,0.119,0.151,0.053,0.083,0.107992885125388,0.0700455532033676
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.211,0.238,0.078,0.114,0.171,0.192,0.062,0.081,0.138091106406735,0.100143774484715
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.299,0.287,0.11,0.111,0.235,0.236,0.076,0.08,0.169789327688082,0.131841995766062
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.401,0.349,0.157,0.112,0.295,0.29,0.092,0.079,0.203087548969429,0.165140217047409
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.512,0.413,0.207,0.109,0.382,0.347,0.115,0.078,0.237985770250776,0.200038438328756
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.115,0.232,0.05,0.169,0.112,0.175,0.05,0.108,0.107592885125388,0.056996442562694
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.179,0.276,0.057,0.164,0.157,0.212,0.053,0.104,0.136891106406735,0.0862946638440413
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.261,0.326,0.076,0.157,0.212,0.26,0.061,0.103,0.167789327688082,0.117192885125388
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.358,0.4,0.108,0.163,0.277,0.316,0.074,0.104,0.200287548969429,0.149691106406735
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.469,0.45,0.152,0.156,0.355,0.362,0.09,0.098,0.234385770250776,0.183789327688082
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.59,0.537,0.204,0.156,0.463,0.445,0.114,0.1,0.270083991532123,0.219487548969429
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.155,0.319,0.05,0.232,0.15,0.242,0.05,0.14,0.136491106406735,0.0732455532033677
