"","nmz","ndz","a","c","e","g","b","x","PGS","A","assortm","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,0.0682455532033676,0.0682455532033676
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,0.146491106406735,0.146491106406735
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0,0.028,0.05,0,0.05,0.039,0.05,0,0.05,0.0657455532033678,0.034122776601684
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0,0.078,0.079,0.05,0.05,0.089,0.083,0.05,0.05,0.138991106406735,0.107368329805052
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0,0.129,0.108,0.1,0.05,0.14,0.117,0.1,0.05,0.222236659610103,0.190613883008419
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0,0.058,0.1,0,0.1,0.079,0.1,0,0.1,0.136491106406735,0.0732455532033677
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0,0.11,0.129,0.05,0.1,0.131,0.133,0.05,0.1,0.214736659610103,0.151491106406735
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0,0.162,0.157,0.1,0.1,0.182,0.167,0.1,0.1,0.30298221281347,0.239736659610103
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.1,0,0,0,0,0,0,0,0,0,0
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.1,0.05,0.03,0.05,0,0.05,0.034,0.05,0,0.0682455532033676,0.0682455532033676
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.1,0.06,0.1,0,0.1,0.069,0.1,0,0.146491106406735,0.146491106406735
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.1,0.028,0.05,0,0.05,0.039,0.05,0,0.05,0.0657455532033678,0.034122776601684
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.1,0.079,0.08,0.05,0.05,0.09,0.084,0.05,0.05,0.138991106406735,0.107368329805052
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.1,0.13,0.11,0.1,0.05,0.14,0.119,0.1,0.05,0.222236659610103,0.190613883008419
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.1,0.058,0.1,0,0.1,0.08,0.1,0,0.1,0.136491106406735,0.0732455532033677
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.1,0.11,0.13,0.05,0.1,0.131,0.134,0.05,0.1,0.214736659610103,0.151491106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.1,0.162,0.16,0.1,0.1,0.182,0.169,0.1,0.1,0.30298221281347,0.239736659610103
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.2,0,0,0,0,0,0,0,0,0,0
