"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,NA,NA,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.061,0.053,0.058,0.05,0.056,0.053,0.053,0.05,0.026098221281347,0.026098221281347
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.094,0.063,0.08,0.05,0.075,0.063,0.062,0.05,0.0537964425626938,0.0537964425626938
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.147,0.08,0.116,0.05,0.106,0.078,0.077,0.05,0.0830946638440411,0.0830946638440411
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.221,0.103,0.165,0.05,0.149,0.1,0.097,0.05,0.113992885125388,0.113992885125388
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.311,0.132,0.226,0.05,0.202,0.128,0.121,0.05,0.146491106406735,0.146491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.053,0.06,0.05,0.057,0.054,0.057,0.05,0.054,0.0256982212813468,0.0130491106406734
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.076,0.075,0.057,0.057,0.07,0.07,0.053,0.054,0.0525964425626939,0.0399473319220205
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.12,0.097,0.079,0.057,0.098,0.09,0.062,0.053,0.0810946638440408,0.0684455532033674
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.186,0.126,0.114,0.057,0.139,0.115,0.076,0.053,0.111192885125388,0.0985437744847144
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.27,0.161,0.162,0.057,0.19,0.146,0.096,0.053,0.142891106406735,0.130241995766061
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.367,0.203,0.221,0.056,0.251,0.183,0.119,0.053,0.176189327688082,0.163540217047409
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.063,0.092,0.05,0.079,0.065,0.08,0.05,0.065,0.052196442562694,0.0268982212813471
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.098,0.12,0.057,0.078,0.091,0.103,0.053,0.064,0.079894663844041,0.0545964425626941
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.155,0.154,0.078,0.078,0.13,0.132,0.062,0.064,0.109192885125388,0.083894663844041
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.232,0.195,0.113,0.077,0.18,0.167,0.076,0.063,0.140091106406735,0.114792885125388
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.325,0.242,0.159,0.077,0.24,0.207,0.094,0.063,0.172589327688082,0.147291106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.428,0.294,0.217,0.076,0.308,0.252,0.118,0.063,0.206687548969429,0.181389327688082
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.08,0.147,0.05,0.115,0.085,0.118,0.05,0.083,0.079494663844041,0.0415473319220205
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.128,0.187,0.057,0.114,0.121,0.151,0.053,0.082,0.107992885125388,0.0700455532033675
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.198,0.234,0.078,0.113,0.17,0.19,0.061,0.081,0.138091106406735,0.100143774484715
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.286,0.286,0.111,0.112,0.229,0.234,0.075,0.08,0.169789327688082,0.131841995766062
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.386,0.343,0.156,0.11,0.297,0.282,0.093,0.079,0.203087548969429,0.165140217047409
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.493,0.402,0.212,0.109,0.37,0.333,0.116,0.078,0.237985770250776,0.200038438328756
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.106,0.226,0.05,0.167,0.113,0.173,0.05,0.108,0.107592885125388,0.0569964425626939
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.167,0.278,0.057,0.165,0.16,0.216,0.053,0.106,0.136891106406735,0.0862946638440412
