"","nmz","ndz","a","c","e","g","b","x","PGS","A","assortm","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0,0.408,0.161,0.3,0.05,0.261,0.156,0.152,0.05,0.0682455532033676,0.0682455532033676
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0,0.917,0.474,0.787,0.05,0.724,0.453,0.424,0.05,0.146491106406735,0.146491106406735
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0,0.16,0.399,0.05,0.292,0.179,0.302,0.05,0.171,0.0657455532033678,0.034122776601684
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0,0.756,0.754,0.285,0.281,0.64,0.651,0.146,0.163,0.138991106406735,0.107368329805052
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0,0.989,0.945,0.761,0.271,0.94,0.894,0.404,0.156,0.222236659610103,0.190613883008419
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0,0.505,0.929,0.05,0.8,0.55,0.819,0.05,0.506,0.136491106406735,0.0732455532033677
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0,0.953,0.992,0.27,0.783,0.915,0.962,0.14,0.48,0.214736659610103,0.151491106406735
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0,0.999,0.999,0.734,0.763,0.994,0.995,0.384,0.454,0.30298221281347,0.239736659610103
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.1,0.42,0.171,0.303,0.05,0.27,0.165,0.152,0.05,0.0682455532033676,0.0682455532033676
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.925,0.507,0.789,0.05,0.74,0.482,0.423,0.05,0.146491106406735,0.146491106406735
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.1,0.167,0.402,0.05,0.288,0.186,0.307,0.05,0.169,0.0657455532033678,0.034122776601684
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.1,0.774,0.77,0.287,0.277,0.661,0.67,0.146,0.16,0.138991106406735,0.107368329805052
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.1,0.991,0.954,0.762,0.266,0.949,0.908,0.401,0.152,0.222236659610103,0.190613883008419
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.1,0.529,0.931,0.05,0.794,0.574,0.827,0.05,0.497,0.136491106406735,0.0732455532033677
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.1,0.961,0.993,0.272,0.775,0.927,0.967,0.14,0.469,0.214736659610103,0.151491106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.1,1,1,0.735,0.753,0.996,0.996,0.381,0.442,0.30298221281347,0.239736659610103
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.2,0.43,0.181,0.304,0.05,0.278,0.174,0.152,0.05,0.0682455532033676,0.0682455532033676
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.2,0.931,0.537,0.789,0.05,0.754,0.507,0.42,0.05,0.146491106406735,0.146491106406735
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.2,0.173,0.406,0.05,0.285,0.193,0.312,0.05,0.166,0.0657455532033678,0.034122776601684
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.2,0.79,0.784,0.288,0.274,0.679,0.686,0.145,0.158,0.138991106406735,0.107368329805052
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.2,0.993,0.962,0.762,0.262,0.955,0.92,0.398,0.149,0.222236659610103,0.190613883008419
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.2,0.552,0.933,0.05,0.788,0.595,0.833,0.05,0.488,0.136491106406735,0.0732455532033677
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.2,0.968,0.994,0.272,0.767,0.937,0.971,0.139,0.459,0.214736659610103,0.151491106406735
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.2,1,1,0.734,0.744,0.997,0.997,0.377,0.431,0.30298221281347,0.239736659610103
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
