"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.056,0.059,0.096,0.05,0.072,0.054,0.115,0.05,0.093,0.0657455532033677,0.0341227766016838
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.072,0.084,0.248,0.05,0.144,0.064,0.324,0.05,0.234,0.136491106406735,0.0732455532033676
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.072,0.085,0.07,0.069,0.05,0.111,0.071,0.097,0.05,0.0682455532033674,0.0682455532033674
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.098,0.128,0.182,0.068,0.071,0.141,0.217,0.094,0.094,0.138991106406735,0.107368329805051
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.133,0.183,0.372,0.067,0.132,0.176,0.473,0.092,0.225,0.214736659610103,0.151491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.134,0.172,0.123,0.116,0.05,0.27,0.129,0.223,0.05,0.146491106406735,0.146491106406735
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.177,0.236,0.283,0.114,0.069,0.31,0.343,0.208,0.09,0.222236659610103,0.190613883008419
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.228,0.317,0.536,0.113,0.133,0.356,0.636,0.202,0.219,0.30298221281347,0.239736659610103
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.05,0.95,0.064,0.073,0.174,0.05,0.108,0.059,0.221,0.05,0.164,0.0657455532033677,0.0341227766016838
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.106,0.139,0.511,0.05,0.286,0.085,0.675,0.05,0.511,0.136491106406735,0.0732455532033676
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.05,0.95,0.106,0.139,0.101,0.097,0.05,0.205,0.101,0.169,0.05,0.0682455532033674,0.0682455532033674
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.05,0.95,0.175,0.245,0.38,0.096,0.105,0.274,0.461,0.159,0.161,0.138991106406735,0.107368329805051
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.05,0.95,0.266,0.377,0.742,0.093,0.262,0.362,0.863,0.156,0.486,0.214736659610103,0.151491106406735
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.267,0.397,0.251,0.242,0.05,0.595,0.258,0.493,0.05,0.146491106406735,0.146491106406735
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.05,0.95,0.375,0.54,0.61,0.227,0.1,0.654,0.71,0.454,0.158,0.222236659610103,0.190613883008419
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.488,0.675,0.879,0.223,0.256,0.726,0.948,0.44,0.462,0.30298221281347,0.239736659610103
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.079,0.099,0.306,0.05,0.171,0.069,0.402,0.05,0.288,0.0657455532033677,0.0341227766016838
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.167,0.234,0.816,0.05,0.513,0.123,0.926,0.05,0.797,0.136491106406735,0.0732455532033676
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.167,0.24,0.159,0.153,0.05,0.375,0.162,0.304,0.05,0.0682455532033674,0.0682455532033674
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.308,0.451,0.658,0.149,0.168,0.495,0.759,0.279,0.282,0.138991106406735,0.107368329805051
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.48,0.641,0.96,0.138,0.477,0.616,0.99,0.262,0.767,0.214736659610103,0.151491106406735
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.481,0.657,0.451,0.421,0.05,0.876,0.463,0.785,0.05,0.146491106406735,0.146491106406735
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.651,0.833,0.898,0.408,0.158,0.923,0.942,0.751,0.265,0.222236659610103,0.190613883008419
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.79,0.931,0.996,0.398,0.477,0.955,1,0.727,0.763,0.30298221281347,0.239736659610103
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.095,0.127,0.422,0.05,0.237,0.08,0.557,0.05,0.409,0.0657455532033677,0.0341227766016838
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.322,0.944,0.05,0.69,0.161,0.988,0.05,0.929,0.136491106406735,0.0732455532033676
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.232,0.341,0.208,0.206,0.05,0.521,0.216,0.427,0.05,0.0682455532033674,0.0682455532033674
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.44,0.635,0.839,0.204,0.23,0.692,0.913,0.41,0.407,0.138991106406735,0.107368329805051
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.658,0.842,0.996,0.192,0.651,0.804,1,0.378,0.917,0.214736659610103,0.151491106406735
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.66,0.845,0.609,0.598,0.05,0.978,0.637,0.939,0.05,0.146491106406735,0.146491106406735
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.83,0.949,0.972,0.576,0.215,0.989,0.99,0.917,0.384,0.222236659610103,0.190613883008419
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.93,0.989,1,0.555,0.632,0.996,1,0.9,0.916,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.095,0.127,0.422,0.05,0.237,0.08,0.557,0.05,0.409,0.0657455532033677,0.0341227766016838
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.322,0.944,0.05,0.69,0.161,0.988,0.05,0.929,0.136491106406735,0.0732455532033676
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.232,0.341,0.208,0.206,0.05,0.521,0.216,0.427,0.05,0.0682455532033674,0.0682455532033674
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.44,0.635,0.839,0.204,0.23,0.692,0.913,0.41,0.407,0.138991106406735,0.107368329805051
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.658,0.842,0.996,0.192,0.651,0.804,1,0.378,0.917,0.214736659610103,0.151491106406735
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.66,0.845,0.609,0.598,0.05,0.978,0.637,0.939,0.05,0.146491106406735,0.146491106406735
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.83,0.949,0.972,0.576,0.215,0.989,0.99,0.917,0.384,0.222236659610103,0.190613883008419
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.93,0.989,1,0.555,0.632,0.996,1,0.9,0.916,0.30298221281347,0.239736659610103
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.095,0.127,0.422,0.05,0.237,0.08,0.557,0.05,0.409,0.0657455532033677,0.0341227766016838
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.322,0.944,0.05,0.69,0.161,0.988,0.05,0.929,0.136491106406735,0.0732455532033676
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.232,0.341,0.208,0.206,0.05,0.521,0.216,0.427,0.05,0.0682455532033674,0.0682455532033674
