"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"1",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0,0,0,0.12,0.88,0,0,0,0,0,0,0,0,0,0
"2",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0,0,0.12,0.88,0.01,0.006,0.01,0,0.01,0.007,0.01,0,0.0174046505340852,0.0174046505340852
"3",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0,0,0.12,0.88,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.0352093010681704,0.0352093010681704
"4",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0,0,0.12,0.88,0.03,0.018,0.03,0,0.03,0.02,0.03,0,0.0534139516022556,0.0534139516022556
"5",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.04,0,0,0.12,0.88,0.04,0.024,0.04,0,0.04,0.027,0.04,0,0.0720186021363409,0.0720186021363409
"6",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.05,0,0,0.12,0.88,0.05,0.03,0.05,0,0.05,0.033,0.05,0,0.0910232526704262,0.0910232526704262
"7",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.06,0,0,0.12,0.88,0.06,0.036,0.06,0,0.06,0.04,0.06,0,0.110427903204511,0.110427903204511
"8",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.07,0,0,0.12,0.88,0.07,0.042,0.07,0,0.07,0.047,0.07,0,0.130232553738597,0.130232553738597
"9",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.08,0,0,0.12,0.88,0.08,0.048,0.08,0,0.08,0.053,0.08,0,0.150437204272682,0.150437204272682
"10",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.09,0,0,0.12,0.88,0.09,0.054,0.09,0,0.09,0.06,0.09,0,0.171041854806767,0.171041854806767
"11",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.1,0,0,0.12,0.88,0.1,0.06,0.1,0,0.1,0.067,0.1,0,0.192046505340852,0.192046505340852
"12",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.11,0,0,0.12,0.88,0.11,0.067,0.11,0,0.11,0.073,0.11,0,0.213451155874938,0.213451155874938
"13",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.12,0,0,0.12,0.88,0.12,0.073,0.12,0,0.12,0.08,0.12,0,0.235255806409023,0.235255806409023
"14",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0,0.01,0,0.12,0.88,0.006,0.01,0,0.01,0.007,0.01,0,0.01,0.0173046505340853,0.00870232526704262
"15",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0.01,0,0.12,0.88,0.016,0.016,0.01,0.01,0.017,0.017,0.01,0.01,0.0349093010681705,0.0263069758011278
"16",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0.01,0,0.12,0.88,0.026,0.022,0.02,0.01,0.027,0.023,0.02,0.01,0.0529139516022556,0.044311626335213
"17",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0.01,0,0.12,0.88,0.036,0.028,0.03,0.01,0.037,0.03,0.03,0.01,0.071318602136341,0.0627162768692981
"18",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.04,0.01,0,0.12,0.88,0.046,0.035,0.04,0.01,0.047,0.037,0.04,0.01,0.0901232526704261,0.0815209274033835
"19",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.05,0.01,0,0.12,0.88,0.056,0.04,0.05,0.01,0.058,0.043,0.05,0.01,0.109327903204511,0.100725577937469
"20",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.06,0.01,0,0.12,0.88,0.066,0.046,0.06,0.01,0.068,0.05,0.06,0.01,0.128932553738597,0.120330228471554
"21",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.07,0.01,0,0.12,0.88,0.076,0.052,0.07,0.01,0.078,0.057,0.07,0.01,0.148937204272682,0.140334879005639
"22",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.08,0.01,0,0.12,0.88,0.086,0.058,0.08,0.01,0.088,0.063,0.08,0.01,0.169341854806767,0.160739529539725
"23",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.09,0.01,0,0.12,0.88,0.096,0.064,0.09,0.01,0.098,0.07,0.09,0.01,0.190146505340852,0.18154418007381
"24",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.1,0.01,0,0.12,0.88,0.106,0.07,0.1,0.01,0.108,0.077,0.1,0.01,0.211351155874938,0.202748830607895
"25",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.11,0.01,0,0.12,0.88,0.116,0.076,0.11,0.01,0.118,0.083,0.11,0.01,0.232955806409023,0.224353481141981
