"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"1",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0,0
"2",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.0260982212813471,0.0260982212813471
"3",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.04,0.024,0.04,0,0.04,0.027,0.04,0,0.0537964425626939,0.0537964425626939
"4",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.06,0.036,0.06,0,0.06,0.04,0.06,0,0.0830946638440412,0.0830946638440412
"5",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.08,0.048,0.08,0,0.08,0.053,0.08,0,0.113992885125388,0.113992885125388
"6",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.1,0.06,0.1,0,0.1,0.067,0.1,0,0.146491106406735,0.146491106406735
"7",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.013,0.02,0,0.02,0.015,0.02,0,0.02,0.0256982212813469,0.0130491106406735
"8",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.033,0.032,0.02,0.02,0.035,0.033,0.02,0.02,0.052596442562694,0.0399473319220206
"9",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.053,0.044,0.04,0.02,0.055,0.047,0.04,0.02,0.081094663844041,0.0684455532033676
"10",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.073,0.056,0.06,0.02,0.076,0.06,0.06,0.02,0.111192885125388,0.0985437744847145
"11",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.093,0.068,0.08,0.02,0.096,0.073,0.08,0.02,0.142891106406735,0.130241995766062
"12",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.113,0.08,0.1,0.02,0.116,0.087,0.1,0.02,0.176189327688082,0.163540217047409
"13",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.025,0.04,0,0.04,0.031,0.04,0,0.04,0.0521964425626941,0.0268982212813472
"14",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.046,0.052,0.02,0.04,0.051,0.052,0.02,0.04,0.0798946638440411,0.0545964425626943
"15",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.066,0.064,0.04,0.04,0.071,0.067,0.04,0.04,0.109192885125388,0.0838946638440411
"16",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.086,0.076,0.06,0.04,0.091,0.08,0.06,0.04,0.140091106406735,0.114792885125388
