"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"2",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.068,0.057,0.061,0.05,0.063,0.056,0.056,0.05,0.0260982212813471,0.0260982212813471
"3",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.12,0.076,0.093,0.05,0.101,0.076,0.075,0.05,0.0537964425626939,0.0537964425626939
"4",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.207,0.109,0.145,0.05,0.164,0.108,0.105,0.05,0.0830946638440412,0.0830946638440412
"5",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.323,0.155,0.216,0.05,0.25,0.152,0.145,0.05,0.113992885125388,0.113992885125388
"6",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.456,0.213,0.301,0.05,0.354,0.208,0.195,0.05,0.146491106406735,0.146491106406735
"7",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.057,0.068,0.05,0.061,0.058,0.065,0.05,0.057,0.0256982212813469,0.0130491106406735
"8",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.097,0.097,0.061,0.061,0.09,0.091,0.056,0.057,0.052596442562694,0.0399473319220206
"9",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.172,0.14,0.092,0.061,0.149,0.13,0.074,0.057,0.081094663844041,0.0684455532033676
"10",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.28,0.196,0.143,0.061,0.231,0.182,0.103,0.057,0.111192885125388,0.0985437744847145
"11",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.41,0.263,0.212,0.06,0.333,0.245,0.143,0.057,0.142891106406735,0.130241995766062
"12",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.547,0.34,0.295,0.06,0.445,0.317,0.191,0.056,0.176189327688082,0.163540217047409
"13",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.079,0.126,0.05,0.096,0.081,0.111,0.05,0.079,0.0521964425626941,0.0268982212813472
"14",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.142,0.178,0.06,0.095,0.134,0.158,0.056,0.078,0.0798946638440411,0.0545964425626943
"15",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.24,0.244,0.091,0.094,0.213,0.217,0.074,0.078,0.109192885125388,0.0838946638440411
"16",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.366,0.32,0.14,0.093,0.312,0.287,0.102,0.077,0.140091106406735,0.114792885125388
"17",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.504,0.403,0.207,0.092,0.425,0.364,0.14,0.076,0.172589327688082,0.147291106406735
"18",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.638,0.489,0.289,0.091,0.54,0.446,0.188,0.075,0.206687548969429,0.181389327688082
"19",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.117,0.224,0.05,0.155,0.121,0.189,0.05,0.116,0.0794946638440411,0.0415473319220207
"20",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.205,0.299,0.06,0.153,0.195,0.256,0.056,0.114,0.107992885125388,0.0700455532033676
"21",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.323,0.382,0.09,0.15,0.292,0.332,0.073,0.112,0.138091106406735,0.100143774484715
"22",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.461,0.47,0.138,0.148,0.405,0.414,0.101,0.111,0.169789327688082,0.131841995766062
"23",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.599,0.557,0.203,0.146,0.522,0.498,0.138,0.109,0.203087548969429,0.165140217047409
"24",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.723,0.64,0.283,0.144,0.634,0.58,0.184,0.107,0.237985770250776,0.200038438328756
"25",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.173,0.36,0.05,0.237,0.179,0.299,0.05,0.167,0.107592885125388,0.056996442562694
"26",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.284,0.449,0.06,0.233,0.273,0.38,0.056,0.164,0.136891106406735,0.0862946638440413
"27",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.418,0.538,0.089,0.229,0.385,0.465,0.072,0.161,0.167789327688082,0.117192885125388
"28",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.56,0.624,0.136,0.225,0.503,0.55,0.099,0.158,0.200287548969429,0.149691106406735
"29",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.69,0.703,0.199,0.221,0.618,0.631,0.136,0.155,0.234385770250776,0.183789327688082
"30",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.797,0.771,0.277,0.217,0.72,0.704,0.181,0.151,0.270083991532123,0.219487548969429
"31",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.247,0.517,0.05,0.34,0.255,0.432,0.05,0.232,0.136491106406735,0.0732455532033677
"32",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.377,0.606,0.06,0.334,0.365,0.518,0.056,0.227,0.166589327688082,0.103343774484715
"33",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.52,0.688,0.088,0.328,0.485,0.602,0.072,0.222,0.198287548969429,0.135041995766061
"34",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.656,0.76,0.133,0.321,0.602,0.68,0.098,0.217,0.231585770250776,0.168340217047409
"35",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.772,0.821,0.195,0.315,0.708,0.749,0.134,0.212,0.266483991532123,0.203238438328756
"36",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.859,0.87,0.271,0.309,0.795,0.807,0.177,0.208,0.30298221281347,0.239736659610103
"37",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"38",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.05,0.95,0.095,0.067,0.078,0.05,0.083,0.067,0.066,0.05,0.0260982212813471,0.0260982212813471
"39",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.232,0.118,0.162,0.05,0.183,0.116,0.114,0.05,0.0537964425626939,0.0537964425626939
"40",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.442,0.203,0.296,0.05,0.343,0.2,0.192,0.05,0.0830946638440412,0.0830946638440412
"41",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.666,0.32,0.463,0.05,0.534,0.313,0.296,0.05,0.113992885125388,0.113992885125388
"42",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.838,0.456,0.63,0.05,0.713,0.445,0.416,0.05,0.146491106406735,0.146491106406735
"43",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.068,0.097,0.05,0.079,0.069,0.088,0.05,0.069,0.0256982212813469,0.0130491106406735
"44",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.05,0.95,0.172,0.173,0.077,0.079,0.154,0.157,0.066,0.068,0.052596442562694,0.0399473319220206
