"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.026098221281347,0.026098221281347
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.08,0.046,0.08,0,0.08,0.053,0.08,0,0.0537964425626938,0.0537964425626938
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.12,0.069,0.12,0,0.12,0.08,0.12,0,0.0830946638440411,0.0830946638440411
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.16,0.091,0.16,0,0.16,0.107,0.16,0,0.113992885125388,0.113992885125388
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.2,0.114,0.2,0,0.2,0.133,0.2,0,0.146491106406735,0.146491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.01,0.04,0,0.04,0.02,0.04,0,0.04,0.0256982212813468,0.0130491106406734
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.05,0.063,0.04,0.04,0.06,0.067,0.04,0.04,0.0525964425626939,0.0399473319220205
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.09,0.086,0.08,0.04,0.1,0.093,0.08,0.04,0.0810946638440408,0.0684455532033674
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.13,0.109,0.12,0.04,0.14,0.12,0.12,0.04,0.111192885125388,0.0985437744847144
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.17,0.131,0.16,0.04,0.18,0.147,0.16,0.04,0.142891106406735,0.130241995766061
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.21,0.154,0.2,0.04,0.22,0.173,0.2,0.04,0.176189327688082,0.163540217047409
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.02,0.08,0,0.08,0.04,0.08,0,0.08,0.052196442562694,0.0268982212813471
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.06,0.103,0.04,0.08,0.08,0.107,0.04,0.08,0.079894663844041,0.0545964425626941
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.1,0.126,0.08,0.08,0.12,0.133,0.08,0.08,0.109192885125388,0.083894663844041
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.14,0.149,0.12,0.08,0.16,0.16,0.12,0.08,0.140091106406735,0.114792885125388
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.18,0.171,0.16,0.08,0.2,0.187,0.16,0.08,0.172589327688082,0.147291106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.22,0.194,0.2,0.08,0.24,0.213,0.2,0.08,0.206687548969429,0.181389327688082
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.03,0.12,0,0.12,0.06,0.12,0,0.12,0.079494663844041,0.0415473319220205
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.07,0.143,0.04,0.12,0.1,0.147,0.04,0.12,0.107992885125388,0.0700455532033675
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.11,0.166,0.08,0.12,0.14,0.173,0.08,0.12,0.138091106406735,0.100143774484715
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.15,0.189,0.12,0.12,0.18,0.2,0.12,0.12,0.169789327688082,0.131841995766062
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.19,0.211,0.16,0.12,0.22,0.227,0.16,0.12,0.203087548969429,0.165140217047409
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.23,0.234,0.2,0.12,0.26,0.253,0.2,0.12,0.237985770250776,0.200038438328756
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.04,0.16,0,0.16,0.08,0.16,0,0.16,0.107592885125388,0.0569964425626939
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.08,0.183,0.04,0.16,0.12,0.187,0.04,0.16,0.136891106406735,0.0862946638440412
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.12,0.206,0.08,0.16,0.16,0.213,0.08,0.16,0.167789327688082,0.117192885125388
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.16,0.229,0.12,0.16,0.2,0.24,0.12,0.16,0.200287548969429,0.149691106406735
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.2,0.251,0.16,0.16,0.24,0.267,0.16,0.16,0.234385770250776,0.183789327688082
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.24,0.274,0.2,0.16,0.28,0.293,0.2,0.16,0.270083991532123,0.219487548969429
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.05,0.2,0,0.2,0.1,0.2,0,0.2,0.136491106406735,0.0732455532033676
