"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.02,0.98,0.06,0.053,0.058,0.05,0.056,0.053,0.053,0.05,0.026098221281347,0.026098221281347
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.02,0.98,0.088,0.063,0.08,0.05,0.072,0.063,0.062,0.05,0.0537964425626938,0.0537964425626938
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.138,0.079,0.118,0.05,0.099,0.078,0.077,0.05,0.0830946638440411,0.0830946638440411
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.201,0.103,0.166,0.05,0.134,0.1,0.094,0.05,0.113992885125388,0.113992885125388
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.274,0.132,0.224,0.05,0.176,0.128,0.119,0.05,0.146491106406735,0.146491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.02,0.98,0.051,0.06,0.05,0.057,0.051,0.057,0.05,0.054,0.0256982212813468,0.0130491106406734
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.02,0.98,0.065,0.074,0.058,0.057,0.063,0.07,0.053,0.054,0.0525964425626939,0.0399473319220205
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.02,0.98,0.097,0.096,0.079,0.057,0.084,0.088,0.062,0.053,0.0810946638440408,0.0684455532033674
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.148,0.127,0.114,0.057,0.116,0.116,0.076,0.053,0.111192885125388,0.0985437744847144
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.217,0.159,0.164,0.057,0.158,0.147,0.097,0.053,0.142891106406735,0.130241995766061
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.297,0.197,0.224,0.056,0.209,0.181,0.119,0.053,0.176189327688082,0.163540217047409
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.052,0.092,0.05,0.079,0.056,0.081,0.05,0.065,0.052196442562694,0.0268982212813471
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.071,0.118,0.057,0.078,0.073,0.103,0.053,0.065,0.079894663844041,0.0545964425626941
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.108,0.153,0.079,0.078,0.099,0.131,0.062,0.064,0.109192885125388,0.083894663844041
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.16,0.202,0.112,0.078,0.133,0.172,0.076,0.064,0.140091106406735,0.114792885125388
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.226,0.241,0.157,0.077,0.18,0.206,0.094,0.063,0.172589327688082,0.147291106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.315,0.295,0.219,0.076,0.238,0.259,0.118,0.063,0.206687548969429,0.181389327688082
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.055,0.145,0.05,0.114,0.062,0.115,0.05,0.081,0.079494663844041,0.0415473319220205
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.077,0.194,0.057,0.115,0.085,0.155,0.053,0.083,0.107992885125388,0.0700455532033675
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.115,0.241,0.076,0.115,0.112,0.196,0.061,0.082,0.138091106406735,0.100143774484715
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.18,0.285,0.113,0.111,0.164,0.232,0.077,0.08,0.169789327688082,0.131841995766062
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.247,0.335,0.157,0.11,0.206,0.282,0.093,0.079,0.203087548969429,0.165140217047409
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.328,0.394,0.213,0.109,0.267,0.328,0.119,0.079,0.237985770250776,0.200038438328756
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.059,0.225,0.05,0.165,0.073,0.173,0.05,0.107,0.107592885125388,0.0569964425626939
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.087,0.274,0.057,0.165,0.099,0.214,0.053,0.106,0.136891106406735,0.0862946638440412
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.129,0.331,0.077,0.162,0.134,0.257,0.061,0.103,0.167789327688082,0.117192885125388
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.186,0.412,0.108,0.165,0.17,0.329,0.072,0.103,0.200287548969429,0.149691106406735
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.262,0.457,0.153,0.157,0.236,0.369,0.093,0.102,0.234385770250776,0.183789327688082
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.351,0.524,0.211,0.157,0.302,0.414,0.117,0.099,0.270083991532123,0.219487548969429
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.064,0.329,0.05,0.231,0.086,0.249,0.05,0.139,0.136491106406735,0.0732455532033676
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.092,0.385,0.056,0.226,0.112,0.292,0.053,0.137,0.166589327688082,0.103343774484715
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.141,0.448,0.076,0.23,0.153,0.351,0.061,0.137,0.198287548969429,0.135041995766061
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.202,0.49,0.107,0.215,0.203,0.389,0.073,0.128,0.231585770250776,0.168340217047409
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.278,0.575,0.15,0.219,0.26,0.469,0.091,0.131,0.266483991532123,0.203238438328756
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.359,0.617,0.201,0.21,0.314,0.507,0.111,0.124,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.05,0.95,0.076,0.058,0.07,0.05,0.066,0.058,0.059,0.05,0.026098221281347,0.026098221281347
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.151,0.082,0.129,0.05,0.108,0.081,0.082,0.05,0.0537964425626938,0.0537964425626938
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.268,0.126,0.219,0.05,0.18,0.123,0.122,0.05,0.0830946638440411,0.0830946638440411
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.421,0.184,0.344,0.05,0.266,0.181,0.169,0.05,0.113992885125388,0.113992885125388
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.574,0.254,0.475,0.05,0.374,0.247,0.232,0.05,0.146491106406735,0.146491106406735
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.052,0.077,0.05,0.068,0.054,0.069,0.05,0.059,0.0256982212813468,0.0130491106406734
