A,C,E,g,b,PGS,p1,p2,p3,p4,p13,p14,p15,p16,Smz,Sdz
0.4,0.3,0.3,0,0,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.4,0.3,0.3,0,0.05,0.02,0.1,0.05,0.07,0.12,0.07,0.05,0.07,0.1,7%,3%
0.4,0.3,0.3,0,0.1,0.02,0.23,0.05,0.14,0.33,0.14,0.05,0.15,0.24,14%,7%
0.4,0.3,0.3,0.05,0,0.02,0.05,0.1,0.12,0.07,0.05,0.07,0.09,0.07,7%,7%
0.4,0.3,0.3,0.05,0.05,0.02,0.09,0.09,0.21,0.21,0.07,0.07,0.17,0.18,14%,11%
0.4,0.3,0.3,0.05,0.1,0.02,0.22,0.09,0.36,0.48,0.13,0.07,0.31,0.38,21%,15%
0.4,0.3,0.3,0.1,0,0.02,0.05,0.23,0.31,0.13,0.05,0.12,0.2,0.13,15%,15%
0.4,0.3,0.3,0.1,0.05,0.02,0.09,0.22,0.46,0.35,0.07,0.12,0.34,0.29,22%,19%
0.4,0.3,0.3,0.1,0.1,0.02,0.22,0.2,0.62,0.63,0.13,0.11,0.5,0.52,30%,24%
0.5,0.2,0.3,0,0,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.02,0.09,0.05,0.07,0.11,0.07,0.05,0.07,0.1,7%,4%
0.5,0.2,0.3,0,0.1,0.02,0.23,0.05,0.13,0.31,0.14,0.05,0.15,0.24,15%,8%
0.5,0.2,0.3,0.05,0,0.02,0.05,0.1,0.12,0.07,0.05,0.07,0.09,0.07,8%,8%
0.5,0.2,0.3,0.05,0.05,0.02,0.09,0.09,0.21,0.2,0.07,0.07,0.17,0.17,15%,12%
0.5,0.2,0.3,0.05,0.1,0.02,0.22,0.09,0.34,0.46,0.13,0.07,0.3,0.37,24%,17%
0.5,0.2,0.3,0.1,0,0.02,0.05,0.23,0.31,0.13,0.05,0.12,0.2,0.12,16%,16%
0.5,0.2,0.3,0.1,0.05,0.02,0.09,0.21,0.44,0.33,0.07,0.12,0.33,0.28,24%,21%
0.5,0.2,0.3,0.1,0.1,0.02,0.21,0.2,0.6,0.61,0.13,0.11,0.49,0.5,33%,26%
0.4,0.3,0.3,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.4,0.3,0.3,0,0.05,0.05,0.17,0.05,0.1,0.22,0.11,0.05,0.11,0.17,7%,3%
0.4,0.3,0.3,0,0.1,0.05,0.5,0.05,0.28,0.67,0.28,0.05,0.31,0.52,14%,7%
0.4,0.3,0.3,0.05,0,0.05,0.05,0.17,0.23,0.1,0.05,0.1,0.15,0.1,7%,7%
0.4,0.3,0.3,0.05,0.05,0.05,0.16,0.16,0.46,0.46,0.1,0.1,0.37,0.38,14%,11%
0.4,0.3,0.3,0.05,0.1,0.05,0.48,0.16,0.72,0.86,0.27,0.09,0.64,0.74,21%,15%
0.4,0.3,0.3,0.1,0,0.05,0.05,0.48,0.65,0.26,0.05,0.23,0.43,0.25,15%,15%
0.4,0.3,0.3,0.1,0.05,0.05,0.16,0.46,0.84,0.7,0.1,0.22,0.69,0.61,22%,19%
0.4,0.3,0.3,0.1,0.1,0.05,0.46,0.44,0.95,0.96,0.25,0.21,0.88,0.89,30%,24%
0.5,0.2,0.3,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.05,0.16,0.05,0.1,0.21,0.11,0.05,0.11,0.17,7%,4%
0.5,0.2,0.3,0,0.1,0.05,0.49,0.05,0.26,0.64,0.28,0.05,0.3,0.51,15%,8%
0.5,0.2,0.3,0.05,0,0.05,0.05,0.17,0.22,0.1,0.05,0.1,0.15,0.1,8%,8%
0.5,0.2,0.3,0.05,0.05,0.05,0.16,0.16,0.44,0.44,0.1,0.1,0.36,0.37,15%,12%
0.5,0.2,0.3,0.05,0.1,0.05,0.47,0.16,0.7,0.84,0.26,0.09,0.63,0.73,24%,17%
0.5,0.2,0.3,0.1,0,0.05,0.05,0.48,0.64,0.25,0.05,0.24,0.43,0.24,16%,16%
0.5,0.2,0.3,0.1,0.05,0.05,0.15,0.46,0.83,0.68,0.1,0.22,0.68,0.6,24%,21%
0.5,0.2,0.3,0.1,0.1,0.05,0.45,0.43,0.94,0.94,0.25,0.21,0.87,0.88,33%,26%
0.4,0.3,0.3,0,0,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.4,0.3,0.3,0,0.05,0.1,0.29,0.05,0.16,0.4,0.17,0.05,0.18,0.3,7%,3%
0.4,0.3,0.3,0,0.1,0.1,0.8,0.05,0.5,0.93,0.51,0.05,0.55,0.82,14%,7%
0.4,0.3,0.3,0.05,0,0.1,0.05,0.3,0.41,0.16,0.05,0.15,0.26,0.16,7%,7%
0.4,0.3,0.3,0.05,0.05,0.1,0.28,0.28,0.76,0.75,0.16,0.15,0.64,0.65,14%,11%
0.4,0.3,0.3,0.05,0.1,0.1,0.78,0.27,0.95,0.99,0.48,0.14,0.92,0.96,21%,15%
0.4,0.3,0.3,0.1,0,0.1,0.05,0.79,0.92,0.47,0.05,0.42,0.72,0.45,15%,15%
0.4,0.3,0.3,0.1,0.05,0.1,0.27,0.76,0.99,0.94,0.16,0.4,0.94,0.89,22%,19%
0.4,0.3,0.3,0.1,0.1,0.1,0.76,0.73,1,1,0.45,0.38,0.99,1,30%,24%
0.5,0.2,0.3,0,0,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.1,0.28,0.05,0.15,0.38,0.17,0.05,0.17,0.3,7%,4%
0.5,0.2,0.3,0,0.1,0.1,0.79,0.05,0.47,0.92,0.51,0.05,0.53,0.81,15%,8%
0.5,0.2,0.3,0.05,0,0.1,0.05,0.3,0.41,0.16,0.05,0.16,0.26,0.15,8%,8%
0.5,0.2,0.3,0.05,0.05,0.1,0.27,0.29,0.74,0.73,0.16,0.15,0.63,0.64,15%,12%
0.5,0.2,0.3,0.05,0.1,0.1,0.77,0.27,0.94,0.99,0.48,0.14,0.91,0.96,24%,17%
0.5,0.2,0.3,0.1,0,0.1,0.05,0.79,0.91,0.46,0.05,0.43,0.72,0.44,16%,16%
0.5,0.2,0.3,0.1,0.05,0.1,0.26,0.76,0.99,0.93,0.16,0.41,0.94,0.88,24%,21%
0.5,0.2,0.3,0.1,0.1,0.1,0.75,0.73,1,1,0.45,0.39,0.99,0.99,33%,26%
