"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.025,0,0,0.02,0.98,0.067,0.055,0.062,0.05,0.06,0.055,0.055,0.05,0.0328727766016836,0.0328727766016836
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.118,0.071,0.096,0.05,0.089,0.07,0.069,0.05,0.0682455532033674,0.0682455532033674
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.075,0,0,0.02,0.98,0.201,0.096,0.152,0.05,0.137,0.094,0.091,0.05,0.106118329805051,0.106118329805051
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.311,0.132,0.226,0.05,0.202,0.128,0.121,0.05,0.146491106406735,0.146491106406735
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.025,0,0.02,0.98,0.055,0.066,0.05,0.061,0.056,0.062,0.05,0.056,0.0322477766016838,0.0164363883008418
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.025,0.025,0,0.02,0.98,0.091,0.09,0.061,0.061,0.081,0.082,0.055,0.056,0.0663705532033676,0.0505591649025257
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.025,0,0.02,0.98,0.16,0.124,0.095,0.061,0.126,0.112,0.068,0.055,0.102993329805051,0.0871819415042094
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.075,0.025,0,0.02,0.98,0.26,0.169,0.149,0.06,0.188,0.151,0.09,0.055,0.142116106406735,0.126304718105893
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.025,0,0.02,0.98,0.382,0.224,0.22,0.06,0.265,0.199,0.119,0.055,0.183738883008419,0.167927494707577
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.071,0.116,0.05,0.095,0.074,0.097,0.05,0.073,0.0657455532033677,0.0341227766016838
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.025,0.05,0,0.02,0.98,0.126,0.16,0.061,0.094,0.115,0.133,0.055,0.072,0.101118329805051,0.0694955532033674
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.214,0.214,0.093,0.093,0.175,0.178,0.068,0.071,0.138991106406735,0.107368329805051
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.075,0.05,0,0.02,0.98,0.33,0.277,0.145,0.092,0.251,0.231,0.089,0.07,0.179363883008419,0.147741106406735
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.46,0.346,0.215,0.091,0.338,0.291,0.117,0.07,0.222236659610103,0.190613883008419
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.075,0,0.02,0.98,0.099,0.204,0.05,0.153,0.105,0.158,0.05,0.101,0.100493329805051,0.0530591649025256
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.025,0.075,0,0.02,0.98,0.174,0.266,0.061,0.15,0.162,0.209,0.054,0.099,0.137116106406735,0.0896819415042094
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.075,0,0.02,0.98,0.281,0.337,0.092,0.148,0.237,0.268,0.067,0.097,0.176238883008419,0.128804718105893
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.075,0.075,0,0.02,0.98,0.409,0.412,0.142,0.146,0.324,0.332,0.088,0.096,0.217861659610103,0.170427494707577
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.075,0,0.02,0.98,0.542,0.489,0.209,0.143,0.419,0.4,0.115,0.094,0.261984436211786,0.214550271309261
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.14,0.326,0.05,0.234,0.151,0.244,0.05,0.14,0.136491106406735,0.0732455532033676
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.025,0.1,0,0.02,0.98,0.237,0.402,0.06,0.23,0.223,0.308,0.054,0.136,0.174363883008419,0.111118329805051
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.359,0.481,0.091,0.225,0.31,0.376,0.067,0.133,0.214736659610103,0.151491106406735
