"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",100,100,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.08,0.079,0.059,0.058,0.073,0.073,0.053,0.054,0.0803946638440413,0.0614209978830308
"2",1000,1000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.357,0.351,0.138,0.132,0.286,0.292,0.085,0.091,0.0803946638440413,0.0614209978830308
"3",3000,3000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.787,0.78,0.319,0.303,0.676,0.686,0.159,0.176,0.0803946638440413,0.0614209978830308
"4",5000,5000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.945,0.942,0.485,0.461,0.877,0.884,0.234,0.263,0.0803946638440413,0.0614209978830308
"5",7000,7000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.988,0.987,0.623,0.596,0.958,0.962,0.308,0.347,0.0803946638440413,0.0614209978830308
"6",9000,9000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.998,0.997,0.732,0.706,0.987,0.988,0.38,0.427,0.0803946638440413,0.0614209978830308
"7",11000,11000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,0.999,0.814,0.788,0.996,0.997,0.448,0.501,0.0803946638440413,0.0614209978830308
"8",13000,13000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.873,0.852,0.999,0.999,0.511,0.569,0.0803946638440413,0.0614209978830308
"9",15000,15000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.915,0.897,1,1,0.57,0.63,0.0803946638440413,0.0614209978830308
"10",17000,17000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.943,0.93,1,1,0.623,0.684,0.0803946638440413,0.0614209978830308
"11",19000,19000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.963,0.952,1,1,0.671,0.732,0.0803946638440413,0.0614209978830308
"12",21000,21000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.977,0.968,1,1,0.714,0.774,0.0803946638440413,0.0614209978830308
"13",23000,23000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.986,0.979,1,1,0.753,0.81,0.0803946638440413,0.0614209978830308
"14",25000,25000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,1,1,0.99,0.986,1,1,0.787,0.841,0.0803946638440413,0.0614209978830308
"15",50,50,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.065,0.064,0.054,0.054,0.061,0.061,0.052,0.052,0.0803946638440413,0.0614209978830308
"16",500,500,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.203,0.2,0.093,0.091,0.167,0.169,0.068,0.07,0.0803946638440413,0.0614209978830308
"17",1500,1500,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.496,0.489,0.183,0.175,0.401,0.408,0.104,0.112,0.0803946638440413,0.0614209978830308
"18",2500,2500,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.711,0.704,0.274,0.26,0.597,0.607,0.141,0.155,0.0803946638440413,0.0614209978830308
"19",3500,3500,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.846,0.839,0.363,0.344,0.742,0.752,0.178,0.198,0.0803946638440413,0.0614209978830308
"20",4500,4500,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.35,0.65,0.922,0.917,0.446,0.423,0.841,0.849,0.215,0.241,0.0803946638440413,0.0614209978830308
