"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"1",4000,4000,0.4,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0
"2",4000,4000,0.6,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0
"3",4000,4000,0.8,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0
"4",4000,4000,1,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0
"5",4000,4000,0.4,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.02,0.011,0.02,0,0.02,0.013,0.02,0,0.0221052631578948,0.0221052631578948
"6",4000,4000,0.6,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.0258333333333334,0.0258333333333334
"7",4000,4000,0.8,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.0264516129032258,0.0264516129032258
"8",4000,4000,1,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.0255,0.0255
"9",4000,4000,0.4,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0463157894736842,0.0463157894736842
"10",4000,4000,0.6,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0533333333333335,0.0533333333333335
"11",4000,4000,0.8,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0541935483870967,0.0541935483870967
"12",4000,4000,1,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.0520000000000001,0.0520000000000001
"13",4000,4000,0.4,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.06,0.034,0.06,0,0.06,0.04,0.06,0,0.0726315789473685,0.0726315789473685
