"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.4,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"2",4000,4000,0.5,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"3",4000,4000,0.6,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"4",4000,4000,0.7,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"5",4000,4000,0.8,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"6",4000,4000,0.4,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.128,0.072,0.104,0.05,0.094,0.072,0.072,0.05,0.0221052631578948,0.0221052631578948
"7",4000,4000,0.5,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.119,0.07,0.098,0.05,0.089,0.07,0.069,0.05,0.0244705882352942,0.0244705882352942
"8",4000,4000,0.6,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.111,0.068,0.092,0.05,0.085,0.068,0.067,0.05,0.0258333333333334,0.0258333333333334
"9",4000,4000,0.7,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.103,0.066,0.087,0.05,0.081,0.066,0.065,0.05,0.026422018348624,0.026422018348624
"10",4000,4000,0.8,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.097,0.064,0.082,0.05,0.077,0.064,0.064,0.05,0.0264516129032258,0.0264516129032258
"11",4000,4000,0.4,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.361,0.142,0.268,0.05,0.228,0.139,0.136,0.05,0.0463157894736842,0.0463157894736842
"12",4000,4000,0.5,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.327,0.133,0.243,0.05,0.209,0.129,0.127,0.05,0.0508235294117647,0.0508235294117647
"13",4000,4000,0.6,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.295,0.123,0.219,0.05,0.191,0.121,0.118,0.05,0.0533333333333335,0.0533333333333335
"14",4000,4000,0.7,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.265,0.115,0.198,0.05,0.175,0.112,0.11,0.05,0.0543119266055047,0.0543119266055047
"15",4000,4000,0.8,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.239,0.107,0.179,0.05,0.16,0.105,0.103,0.05,0.0541935483870967,0.0541935483870967
"16",4000,4000,0.4,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.661,0.259,0.509,0.05,0.435,0.25,0.242,0.05,0.0726315789473685,0.0726315789473685
"17",4000,4000,0.5,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.61,0.237,0.461,0.05,0.398,0.229,0.221,0.05,0.0790588235294118,0.0790588235294118
