"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"2",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"3",4000,4000,0.774596669241483,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"4",4000,4000,0.836660026534076,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"5",4000,4000,0.894427190999916,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.408,0.161,0.3,0.05,0.261,0.156,0.152,0.05,0.0682455532033676,0.0682455532033676
"7",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.377,0.151,0.277,0.05,0.243,0.147,0.143,0.05,0.0688278891987768,0.0688278891987768
"8",4000,4000,0.774596669241483,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.351,0.143,0.257,0.05,0.227,0.139,0.135,0.05,0.0687163891034568,0.0687163891034568
"9",4000,4000,0.836660026534076,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.328,0.136,0.241,0.05,0.214,0.132,0.129,0.05,0.0682046174256982,0.0682046174256982
"10",4000,4000,0.894427190999916,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.309,0.13,0.227,0.05,0.203,0.127,0.124,0.05,0.0674590850714225,0.0674590850714225
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.917,0.474,0.787,0.05,0.724,0.453,0.424,0.05,0.146491106406735,0.146491106406735
"12",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.89,0.44,0.747,0.05,0.685,0.421,0.394,0.05,0.146746687488463,0.146746687488463
"13",4000,4000,0.774596669241483,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.863,0.412,0.709,0.05,0.649,0.394,0.368,0.05,0.145766111540247,0.145766111540247
"14",4000,4000,0.836660026534076,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.835,0.387,0.674,0.05,0.617,0.37,0.346,0.05,0.144101542543704,0.144101542543704
"15",4000,4000,0.894427190999916,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.808,0.365,0.642,0.05,0.587,0.349,0.327,0.05,0.142061027285702,0.142061027285702
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.16,0.399,0.05,0.292,0.179,0.302,0.05,0.171,0.0657455532033678,0.034122776601684
"17",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.15,0.37,0.05,0.27,0.167,0.281,0.05,0.161,0.0665551619260496,0.0344139445993884
"18",4000,4000,0.774596669241483,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.143,0.345,0.05,0.251,0.158,0.263,0.05,0.152,0.0666330557701235,0.0343581945517285
"19",4000,4000,0.836660026534076,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.136,0.323,0.05,0.236,0.15,0.247,0.05,0.144,0.0662815405026213,0.0341023087128489
"20",4000,4000,0.894427190999916,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.13,0.305,0.05,0.222,0.143,0.233,0.05,0.137,0.0656733707857082,0.0337295425357111
